sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WHYCeC8	WHYCeC2R	0.885832465	Mallards	WHYCeC8	WHYCeC2R	0.361445717	Mallards	WHYCeC8	WHYCeC2R	0.19477463	Mallards
WNCeC1L	WHYCeC2R	0.738163329	Mallards	WNCeC1L	WHYCeC2R	0.254791195	Mallards	WNCeC1L	WHYCeC2R	0.108416808	Mallards
WNCeC2L	WHYCeC2R	0.84405201	Mallards	WNCeC2L	WHYCeC2R	0.406985865	Mallards	WNCeC2L	WHYCeC2R	0.137134251	Mallards
WNFCeC1L	WHYCeC2R	0.723932421	Mallards	WNFCeC1L	WHYCeC2R	0.228035887	Mallards	WNFCeC1L	WHYCeC2R	0.097284631	Mallards
WNFCeC2L	WHYCeC2R	0.924748191	Mallards	WNFCeC2L	WHYCeC2R	0.672119302	Mallards	WNFCeC2L	WHYCeC2R	0.334285636	Mallards
WNFCeC3L	WHYCeC2R	0.697837428	Mallards	WNFCeC3L	WHYCeC2R	0.266936786	Mallards	WNFCeC3L	WHYCeC2R	0.11544554	Mallards
WNFCeC4L	WHYCeC2R	0.763819242	Mallards	WNFCeC4L	WHYCeC2R	0.218680916	Mallards	WNFCeC4L	WHYCeC2R	0.098587792	Mallards
WFHCeC1L	WHYCeC2R	0.513140765	Mallards	WFHCeC1L	WHYCeC2R	0.18637755	Mallards	WFHCeC1L	WHYCeC2R	0.053163187	Mallards
WFHCeC2L	WHYCeC2R	0.767504855	Mallards	WFHCeC2L	WHYCeC2R	0.322312032	Mallards	WFHCeC2L	WHYCeC2R	0.089023128	Mallards
WFHCeC3L	WHYCeC2R	0.670981805	Mallards	WFHCeC3L	WHYCeC2R	0.281320233	Mallards	WFHCeC3L	WHYCeC2R	0.078868978	Mallards
WFHCeC4L	WHYCeC2R	0.487671558	Mallards	WFHCeC4L	WHYCeC2R	0.150812659	Mallards	WFHCeC4L	WHYCeC2R	0.050366649	Mallards
WFHCeC6L	WHYCeC2R	0.574231248	Mallards	WFHCeC6L	WHYCeC2R	0.215287367	Mallards	WFHCeC6L	WHYCeC2R	0.063775694	Mallards
WFHCeC11L	WHYCeC2R	0.515922104	Mallards	WFHCeC11L	WHYCeC2R	0.182156296	Mallards	WFHCeC11L	WHYCeC2R	0.059450638	Mallards
WFHCeC12L	WHYCeC2R	0.550033147	Mallards	WFHCeC12L	WHYCeC2R	0.176135329	Mallards	WFHCeC12L	WHYCeC2R	0.050780166	Mallards
WFHCeC13L	WHYCeC2R	0.580792246	Mallards	WFHCeC13L	WHYCeC2R	0.21062098	Mallards	WFHCeC13L	WHYCeC2R	0.059817292	Mallards
WFHCeC14L	WHYCeC2R	0.79246528	Mallards	WFHCeC14L	WHYCeC2R	0.324364184	Mallards	WFHCeC14L	WHYCeC2R	0.085106714	Mallards
