sample	gene Abundance	Group	sample	Genus Abundance	Group	sample	Kos Abundance	Group
SDQILC1	10.12274261	Duck	HBCeC5	5.565934592	Duck	SDQILC1	10.12274261	Duck
SDQILC2	9.359252276	Duck	HBCeC6	5.560049911	Duck	SDQILC2	9.359252276	Duck
SDQILC4	10.19208903	Duck	HEBCeC-10	5.377047724	Duck	SDQILC4	10.19208903	Duck
SDQILC5	9.998308224	Duck	HEBCeC-15	4.889611955	Duck	SDQILC5	9.998308224	Duck
SDQILC8	10.10064391	Duck	HEBCeC-17	4.914415325	Duck	SDQILC8	10.10064391	Duck
SDQILC9	9.566463937	Duck	HEBCeC-18	5.368148309	Duck	SDQILC9	9.566463937	Duck
WHYILC1	9.46048581	Duck	HEBCeC-21	4.015223669	Duck	WHYILC1	9.46048581	Duck
WHYILC3	9.941217708	Duck	HEBCeC-22	5.110021697	Duck	WHYILC3	9.941217708	Duck
WHYILC4	9.793410737	Duck	HEBCeC-25	5.015571895	Duck	WHYILC4	9.793410737	Duck
WHYILC5	9.764522956	Duck	HEBCeC-30	4.492918546	Duck	WHYILC5	9.764522956	Duck
WHYILC6	9.731769086	Duck	HEBCeC-4	5.567980666	Duck	WHYILC6	9.731769086	Duck
WHYILC8	9.564079813	Duck	HEBCeC-5	5.287739233	Duck	WHYILC8	9.564079813	Duck
MD70djeC1	4.324117656	Duck	HEBCeC-7	6.036525334	Duck	MD70djeC1	4.324117656	Duck
MD70djeC2	6.941973176	Duck	HEBCeC-8	5.388353725	Duck	MD70djeC2	6.941973176	Duck
MD70djeC3	4.435181759	Duck	HNCeC10	5.628503207	Duck	MD70djeC3	4.435181759	Duck
MD70djeC4	6.7160667	Duck	HNCeC11	5.6592049	Duck	MD70djeC4	6.7160667	Duck
MD70djeC5	4.720166715	Duck	HNCeC12	4.830111911	Duck	MD70djeC5	4.720166715	Duck
MD70djeC6	5.081040151	Duck	HNCeC13	4.818280931	Duck	MD70djeC6	5.081040151	Duck
PD70djeC1	7.256937452	Duck	HNCeC14	5.850041625	Duck	PD70djeC1	7.256937452	Duck
PD70djeC2	8.802400115	Duck	HNCeC15	5.607159485	Duck	PD70djeC2	8.802400115	Duck
PD70djeC3	8.055388042	Duck	HNCeC16	5.50458207	Duck	PD70djeC3	8.055388042	Duck
PD70djeC4	7.254712491	Duck	HNCeC17	5.663791135	Duck	PD70djeC4	7.254712491	Duck
PD70djeC5	7.441813888	Duck	HNCeC18	5.732774964	Duck	PD70djeC5	7.441813888	Duck
PD70djeC6	8.663333712	Duck	HNCeC4	4.351697254	Duck	PD70djeC6	8.663333712	Duck
SDQJeC1	9.467970129	Duck	HNCeC5	4.413961681	Duck	SDQJeC1	9.467970129	Duck
SDQJeC2	9.694515081	Duck	HNCeC6	4.790866374	Duck	SDQJeC2	9.694515081	Duck
SDQJeC4	9.317427803	Duck	HNCeC7	5.543230265	Duck	SDQJeC4	9.317427803	Duck
SDQJeC5	9.85070916	Duck	HNCeC8	5.678207236	Duck	SDQJeC5	9.85070916	Duck
SDQJeC7	9.916831109	Duck	JSCeC1	6.153079825	Duck	SDQJeC7	9.916831109	Duck
SDQJeC9	9.750291887	Duck	JSCeC2	6.311212879	Duck	SDQJeC9	9.750291887	Duck
WHYJeC1	9.664381306	Duck	JSCeC3	6.237975858	Duck	WHYJeC1	9.664381306	Duck
WHYJeC2	9.391593434	Duck	JSCeC4	6.158912532	Duck	WHYJeC2	9.391593434	Duck
WHYJeC3	9.510012824	Duck	JSCeC5	6.327872985	Duck	WHYJeC3	9.510012824	Duck
WHYJeC5	9.467766349	Duck	JSCeC6	6.26541931	Duck	WHYJeC5	9.467766349	Duck
WHYJeC7	9.112412207	Duck	MD14d_CeC_1	5.367243402	Duck	WHYJeC7	9.112412207	Duck
WHYJeC8	9.577656113	Duck	MD14d_CeC_2	5.290719041	Duck	WHYJeC8	9.577656113	Duck
ANCeC1	9.929948963	Duck	MD14d_CeC_3	3.993556508	Duck	ANCeC1	9.929948963	Duck
ANCeC2	9.890527407	Duck	MD14d_CeC_4	5.272700468	Duck	ANCeC2	9.890527407	Duck
ANCeC3	9.879860215	Duck	MD14d_CeC_5	5.278373492	Duck	ANCeC3	9.879860215	Duck
ANCeC4	9.918744002	Duck	MD14d_CeC_6	5.352121318	Duck	ANCeC4	9.918744002	Duck
ANCeC5	9.837867715	Duck	MD14d_CeC_7	5.273821062	Duck	ANCeC5	9.837867715	Duck
ANCeC6	9.948624503	Duck	MD14d_CeC_8	3.973414454	Duck	ANCeC6	9.948624503	Duck
ANCeC7	9.910081672	Duck	MD3d_CeC_1	2.685393577	Duck	ANCeC7	9.910081672	Duck
CeC105	9.877097422	Duck	MD3d_CeC_2	2.185199956	Duck	CeC105	9.877097422	Duck
CeC108	9.894188899	Duck	MD3d_CeC_3	1.976207736	Duck	CeC108	9.894188899	Duck
CeC112	9.882335036	Duck	MD3d_CeC_4	2.249663713	Duck	CeC112	9.882335036	Duck
CeC113	9.834831132	Duck	MD3d_CeC_5	2.709789382	Duck	CeC113	9.834831132	Duck
CeC123	9.882534913	Duck	MD3d_CeC_6	2.162554726	Duck	CeC123	9.882534913	Duck
CeC124	9.861033402	Duck	MD3d_CeC_7	1.953029003	Duck	CeC124	9.861033402	Duck
CeC139	9.890095848	Duck	MD3d_CeC_8	2.234887949	Duck	CeC139	9.890095848	Duck
CeC149	9.892477722	Duck	MD42d_CeC1	5.316762645	Duck	CeC149	9.892477722	Duck
CeC161	9.845220556	Duck	MD42d_CeC2	4.885923971	Duck	CeC161	9.845220556	Duck
CeC164	9.868790587	Duck	MD42d_CeC3	5.176943515	Duck	CeC164	9.868790587	Duck
CeC166	9.846220453	Duck	MD42d_CeC4	5.435943418	Duck	CeC166	9.846220453	Duck
CeC186	9.855489159	Duck	MD42d_CeC5	5.647960206	Duck	CeC186	9.855489159	Duck
CeC192	9.884542795	Duck	MD42d_CeC6	5.344387278	Duck	CeC192	9.884542795	Duck
CeC198	9.875642031	Duck	MD42d_CeC7	5.201964494	Duck	CeC198	9.875642031	Duck
CeC1	9.862852903	Duck	MD42d_CeC8	5.183868375	Duck	CeC1	9.862852903	Duck
CeC200	9.91171096	Duck	MD70dCeC1	5.246809923	Duck	CeC200	9.91171096	Duck
CeC28	9.889193721	Duck	MD70d_CeC1	5.490359098	Duck	CeC28	9.889193721	Duck
CeC35	9.84859606	Duck	MD70dCeC2	5.240769648	Duck	CeC35	9.84859606	Duck
CeC38	9.898423257	Duck	MD70d_CeC2	5.430839298	Duck	CeC38	9.898423257	Duck
CeC41	9.907253309	Duck	MD70dCeC3	5.453858045	Duck	CeC41	9.907253309	Duck
CeC42	9.925171462	Duck	MD70d_CeC3	5.58070421	Duck	CeC42	9.925171462	Duck
CeC51	9.889040982	Duck	MD70dCeC4	5.251613308	Duck	CeC51	9.889040982	Duck
CeC61	9.885154256	Duck	MD70d_CeC4	5.404362234	Duck	CeC61	9.885154256	Duck
CeC66	9.823658008	Duck	MD70dCeC5	5.271487394	Duck	CeC66	9.823658008	Duck
CeC67	9.864767788	Duck	MD70d_CeC5	5.48696075	Duck	CeC67	9.864767788	Duck
CeC68	9.872455609	Duck	MD70dCeC6	5.446458509	Duck	CeC68	9.872455609	Duck
CeC69	9.872123188	Duck	MD70d_CeC6	5.436897658	Duck	CeC69	9.872123188	Duck
CeC6	9.850297492	Duck	MD70d_CeC7	5.607033031	Duck	CeC6	9.850297492	Duck
CeC70	9.830360193	Duck	MD70d_CeC8	5.406117888	Duck	CeC70	9.830360193	Duck
CeC89	9.884409126	Duck	MD70dCoC1	3.359718122	Duck	CeC89	9.884409126	Duck
FJCeC1	9.889485486	Duck	MD70dCoC2	5.747331994	Duck	FJCeC1	9.889485486	Duck
FJCeC2	9.869022489	Duck	MD70dCoC3	5.508405355	Duck	FJCeC2	9.869022489	Duck
FJCeC3	9.871977775	Duck	MD70dCoC4	5.301271735	Duck	FJCeC3	9.871977775	Duck
FJCeC4	9.861874245	Duck	MD70dCoC5	3.227705164	Duck	FJCeC4	9.861874245	Duck
FJCeC5	9.932314271	Duck	MD70dCoC7	5.517602754	Duck	FJCeC5	9.932314271	Duck
FJCeC6	9.90743811	Duck	MD70dduC1	4.874064672	Duck	FJCeC6	9.90743811	Duck
GZCeC-10	9.753817128	Duck	MD70dduC2	4.95218783	Duck	GZCeC-10	9.753817128	Duck
GZCeC-24	10.04302952	Duck	MD70dduC3	5.406454687	Duck	GZCeC-24	10.04302952	Duck
GZCeC-25	9.517604131	Duck	MD70dduC4	5.326447653	Duck	GZCeC-25	9.517604131	Duck
GZCeC-26	9.709467527	Duck	MD70dduC5	5.001353353	Duck	GZCeC-26	9.709467527	Duck
GZCeC-27	9.955845027	Duck	MD70dduC7	4.613148017	Duck	GZCeC-27	9.955845027	Duck
GZCeC-28	9.700298936	Duck	MD70dIlC1	5.611849816	Duck	GZCeC-28	9.700298936	Duck
GZCeC-29	10.03586622	Duck	MD70dIlC2	3.356652199	Duck	GZCeC-29	10.03586622	Duck
GZCeC-30	9.839781875	Duck	MD70dIlC3	5.864558189	Duck	GZCeC-30	9.839781875	Duck
GZCeC-6	9.80409564	Duck	MD70dIlC4	3.590683823	Duck	GZCeC-6	9.80409564	Duck
GZCeC-7	9.952993978	Duck	MD70dIlC5	5.632816716	Duck	GZCeC-7	9.952993978	Duck
GZCeC-8	9.912525252	Duck	MD70dIlC7	5.775996669	Duck	GZCeC-8	9.912525252	Duck
GZCeC-9	9.86009209	Duck	MD70djeC1	4.702613177	Duck	GZCeC-9	9.86009209	Duck
HBCeC1	9.897211875	Duck	MD70djeC2	5.045514581	Duck	HBCeC1	9.897211875	Duck
HBCeC2	9.983422634	Duck	MD70djeC3	4.768090149	Duck	HBCeC2	9.983422634	Duck
HBCeC3	9.977447791	Duck	MD70djeC4	5.31201106	Duck	HBCeC3	9.977447791	Duck
HBCeC4	9.873845054	Duck	MD70djeC5	4.769049019	Duck	HBCeC4	9.873845054	Duck
HBCeC5	9.904800936	Duck	MD70djeC6	4.850288749	Duck	HBCeC5	9.904800936	Duck
HBCeC6	9.896112116	Duck	MD7d_CeC_1	2.800425698	Duck	HBCeC6	9.896112116	Duck
HEBCeC-10	10.09084989	Duck	MD7d_CeC_2	2.583431319	Duck	HEBCeC-10	10.09084989	Duck
HEBCeC-15	9.821756161	Duck	MD7d_CeC_3	2.794376443	Duck	HEBCeC-15	9.821756161	Duck
HEBCeC-17	9.799141406	Duck	MD7d_CeC_4	2.706959386	Duck	HEBCeC-17	9.799141406	Duck
HEBCeC-18	9.793781741	Duck	MD7d_CeC_5	2.574500782	Duck	HEBCeC-18	9.793781741	Duck
HEBCeC-21	9.630804673	Duck	MD7d_CeC_6	2.800072526	Duck	HEBCeC-21	9.630804673	Duck
HEBCeC-22	9.856860377	Duck	MD7d_CeC_7	2.581317399	Duck	HEBCeC-22	9.856860377	Duck
HEBCeC-25	9.775143321	Duck	MD7d_CeC_8	2.789005765	Duck	HEBCeC-25	9.775143321	Duck
HEBCeC-30	9.726257537	Duck	PD14d_CeC_1	5.099281648	Duck	HEBCeC-30	9.726257537	Duck
HEBCeC-4	10.05799633	Duck	PD14d_CeC_2	5.010191971	Duck	HEBCeC-4	10.05799633	Duck
HEBCeC-5	10.04895506	Duck	PD14d_CeC_3	5.232435512	Duck	HEBCeC-5	10.04895506	Duck
HEBCeC-7	9.814795307	Duck	PD14d_CeC_4	5.278812037	Duck	HEBCeC-7	9.814795307	Duck
HEBCeC-8	10.05390274	Duck	PD14d_CeC_5	4.828927805	Duck	HEBCeC-8	10.05390274	Duck
HNCeC10	9.78355616	Duck	PD14d_CeC_6	5.145497509	Duck	HNCeC10	9.78355616	Duck
HNCeC11	9.801145234	Duck	PD14d_CeC_7	5.213968356	Duck	HNCeC11	9.801145234	Duck
HNCeC12	9.73895627	Duck	PD14d_CeC_8	5.101376554	Duck	HNCeC12	9.73895627	Duck
HNCeC13	9.743767197	Duck	PD3d_CeC_1	3.91931088	Duck	HNCeC13	9.743767197	Duck
HNCeC14	9.874782413	Duck	PD3d_CeC_2	2.228288472	Duck	HNCeC14	9.874782413	Duck
HNCeC15	9.768134509	Duck	PD3d_CeC_3	4.01509609	Duck	HNCeC15	9.768134509	Duck
HNCeC16	9.788287812	Duck	PD3d_CeC_4	5.202015816	Duck	HNCeC16	9.788287812	Duck
HNCeC17	9.78706745	Duck	PD3d_CeC_5	5.340626296	Duck	HNCeC17	9.78706745	Duck
HNCeC18	9.795290706	Duck	PD3d_CeC_6	5.52425714	Duck	HNCeC18	9.795290706	Duck
HNCeC4	9.709947564	Duck	PD3d_CeC_7	2.463892327	Duck	HNCeC4	9.709947564	Duck
HNCeC5	9.684004652	Duck	PD3d_CeC_8	4.322424692	Duck	HNCeC5	9.684004652	Duck
HNCeC6	9.72867116	Duck	PD42d_CeC1	4.82179682	Duck	HNCeC6	9.72867116	Duck
HNCeC7	9.751598174	Duck	PD42d_CeC2	4.561192223	Duck	HNCeC7	9.751598174	Duck
HNCeC8	9.831648362	Duck	PD42d_CeC3	5.05261271	Duck	HNCeC8	9.831648362	Duck
JSCeC1	9.956566934	Duck	PD42d_CeC4	4.567850523	Duck	JSCeC1	9.956566934	Duck
JSCeC2	9.981402919	Duck	PD42d_CeC5	4.967918901	Duck	JSCeC2	9.981402919	Duck
