sample	gene Abundance	Group	sample	Genus Abundance	Group	sample	Kos Abundance	Group
Human	11.6521741	Human	Human	1.429193741	Human	Human	7.353878368	Human
Human	11.10416196	Human	Human	1.33795951	Human	Human	7.204408418	Human
Human	11.67359816	Human	Human	0.909436625	Human	Human	7.275665236	Human
Human	12.06863005	Human	Human	1.61790747	Human	Human	7.515835544	Human
Human	11.31510605	Human	Human	1.212337545	Human	Human	7.256119722	Human
Human	11.84702567	Human	Human	1.345527781	Human	Human	7.311285179	Human
Human	10.47138969	Human	Human	1.064998974	Human	Human	7.353501234	Human
Human	11.34607831	Human	Human	1.756346926	Human	Human	7.412890167	Human
Human	10.75440095	Human	Human	1.564194049	Human	Human	7.497668373	Human
Human	12.15151475	Human	Human	1.635948703	Human	Human	7.403085093	Human
Human	11.37726754	Human	Human	1.594407109	Human	Human	7.566422935	Human
Human	12.08012585	Human	Human	1.96915212	Human	Human	7.360530319	Human
Human	10.53069537	Human	Human	1.489386611	Human	Human	7.894091651	Human
Human	11.66688157	Human	Human	1.610118057	Human	Human	7.415427648	Human
Human	10.77821195	Human	Human	1.910241392	Human	Human	7.378080945	Human
Human	11.86574332	Human	Human	1.508052732	Human	Human	7.402450895	Human
Human	11.27723896	Human	Human	1.404728441	Human	Human	7.387500817	Human
Human	11.71120744	Human	Human	2.531370765	Human	Human	7.657248068	Human
Human	11.44494217	Human	Human	1.757833815	Human	Human	7.414505789	Human
Human	10.87134428	Human	Human	1.206057276	Human	Human	7.2061585	Human
Human	12.39954292	Human	Human	1.975352526	Human	Human	7.387939375	Human
Human	12.35571606	Human	Human	1.990253158	Human	Human	7.386313961	Human
Human	12.26151252	Human	Human	1.82397032	Human	Human	7.377395297	Human
Human	11.54849117	Human	Human	1.774296974	Human	Human	7.279115053	Human
Human	12.33699097	Human	Human	2.152467093	Human	Human	7.348164599	Human
Human	12.85397923	Human	Human	2.417178043	Human	Human	7.355503161	Human
Human	12.21554089	Human	Human	2.321086752	Human	Human	7.494811266	Human
Human	12.43500262	Human	Human	2.577053683	Human	Human	7.375087907	Human
Human	11.87598562	Human	Human	1.406832867	Human	Human	7.308435837	Human
Human	12.56255755	Human	Human	2.166371709	Human	Human	7.392078387	Human
Human	12.45432661	Human	Human	2.464232143	Human	Human	7.362691433	Human
Human	12.03986566	Human	Human	1.93590516	Human	Human	7.379785144	Human
Human	12.49498227	Human	Human	1.951459517	Human	Human	7.633917148	Human
Human	12.43169872	Human	Human	2.072341448	Human	Human	7.389614684	Human
Human	12.02837753	Human	Human	1.323526931	Human	Human	7.340798163	Human
Human	12.53465994	Human	Human	1.842981118	Human	Human	7.359273544	Human
Human	11.15041249	Human	Human	1.416430033	Human	Human	7.169428376	Human
Human	12.2833942	Human	Human	1.844374797	Human	Human	7.386020891	Human
Human	11.65677195	Human	Human	1.483356117	Human	Human	7.30035043	Human
Human	12.47029006	Human	Human	2.092875412	Human	Human	7.407119338	Human
Human	12.59865222	Human	Human	2.48880291	Human	Human	7.412883114	Human
Human	12.06475102	Human	Human	2.330123619	Human	Human	7.345336035	Human
Human	12.05042097	Human	Human	1.54463442	Human	Human	7.286046804	Human
Human	12.76597758	Human	Human	2.025760299	Human	Human	7.502486321	Human
Human	11.88435347	Human	Human	1.707995556	Human	Human	7.334101467	Human
Human	12.81121041	Human	Human	1.843837652	Human	Human	7.38288882	Human
Human	12.43866188	Human	Human	1.87249292	Human	Human	7.413533529	Human
Human	12.1559711	Human	Human	2.573982021	Human	Human	7.372717146	Human
Human	12.46358123	Human	Human	2.414431824	Human	Human	7.356408525	Human
Human	11.39500113	Human	Human	1.561349668	Human	Human	7.268700579	Human
Human	12.62632428	Human	Human	1.959226945	Human	Human	7.36979979	Human
Human	10.56881127	Human	Human	1.21154291	Human	Human	7.121057859	Human
Human	12.46547273	Human	Human	2.102390443	Human	Human	7.380362056	Human
Human	12.28553394	Human	Human	1.908229997	Human	Human	7.324087942	Human
Human	12.15556892	Human	Human	1.691253086	Human	Human	7.33162769	Human
Human	12.24571159	Human	Human	1.425131288	Human	Human	7.373315346	Human
Human	12.42624159	Human	Human	1.495441322	Human	Human	7.333400446	Human
Human	12.62887357	Human	Human	1.935019251	Human	Human	7.376259166	Human
Human	12.1349283	Human	Human	1.749177705	Human	Human	7.351021916	Human
Human	12.63974482	Human	Human	2.217763963	Human	Human	7.37996558	Human
Human	12.50013772	Human	Human	1.897421068	Human	Human	7.405440281	Human
Human	12.18220853	Human	Human	2.029469798	Human	Human	7.329837741	Human
Human	12.12997399	Human	Human	1.585289656	Human	Human	7.337458326	Human
Human	12.40534555	Human	Human	2.222266364	Human	Human	7.321695995	Human
Human	11.66929081	Human	Human	2.111449421	Human	Human	7.312104984	Human
Human	12.31101308	Human	Human	1.892006758	Human	Human	7.33615662	Human
Human	11.32356597	Human	Human	1.739195658	Human	Human	7.209540912	Human
Human	12.48393338	Human	Human	2.378096982	Human	Human	7.371350152	Human
Human	12.30538258	Human	Human	1.74317279	Human	Human	7.327333692	Human
Human	12.48976923	Human	Human	2.44418942	Human	Human	7.359556778	Human
Human	12.56528171	Human	Human	2.558929473	Human	Human	7.413688268	Human
Human	12.47218569	Human	Human	2.27142466	Human	Human	7.368701776	Human
Human	12.39603416	Human	Human	2.204046116	Human	Human	7.364033612	Human
Human	12.93841685	Human	Human	2.269389835	Human	Human	7.405238191	Human
Human	11.58695259	Human	Human	2.037552011	Human	Human	7.264965483	Human
Human	12.72048011	Human	Human	1.926370095	Human	Human	7.383723442	Human
Human	12.80852025	Human	Human	2.189849226	Human	Human	7.413384601	Human
Human	12.55350726	Human	Human	2.261809463	Human	Human	7.36862999	Human
Human	11.67372557	Human	Human	0.980133307	Human	Human	7.254153982	Human
Human	12.39996521	Human	Human	2.412121211	Human	Human	7.383582848	Human
Human	12.3521765	Human	Human	2.217942164	Human	Human	7.323849796	Human
Human	11.82846668	Human	Human	1.910814742	Human	Human	7.298176311	Human
Human	12.69908799	Human	Human	2.480885274	Human	Human	7.412098502	Human
Human	12.45538596	Human	Human	2.072669338	Human	Human	7.367126463	Human
Human	12.02594211	Human	Human	1.732344094	Human	Human	7.319968142	Human
Human	11.76735368	Human	Human	1.436026469	Human	Human	7.333485242	Human
Human	12.52954388	Human	Human	2.238588835	Human	Human	7.370649905	Human
Human	12.6249857	Human	Human	2.025682222	Human	Human	7.372952852	Human
Human	12.28314548	Human	Human	2.036305644	Human	Human	7.362053278	Human
Human	11.76813228	Human	Human	1.570009695	Human	Human	7.297616286	Human
Human	12.13104046	Human	Human	1.99429297	Human	Human	7.354831003	Human
Human	11.85715493	Human	Human	1.634287468	Human	Human	7.355199888	Human
Human	12.41215825	Human	Human	2.176962618	Human	Human	7.377962967	Human
Human	12.53619961	Human	Human	1.733396756	Human	Human	7.355021281	Human
Human	12.66826805	Human	Human	2.435828076	Human	Human	7.384794988	Human
Human	11.15118048	Human	Human	1.623715879	Human	Human	7.181099639	Human
Human	12.08140091	Human	Human	1.930607778	Human	Human	7.387953701	Human
Human	12.35857601	Human	Human	1.916013617	Human	Human	7.34307583	Human
Human	12.50779168	Human	Human	1.85505285	Human	Human	7.373042807	Human
Human	12.43157963	Human	Human	2.07362565	Human	Human	7.362811835	Human
Human	12.47719466	Human	Human	2.124973577	Human	Human	7.390123679	Human
Human	10.75973268	Human	Human	1.347196323	Human	Human	7.146779326	Human
Human	11.77889311	Human	Human	1.724909921	Human	Human	7.275777241	Human
Human	12.70543047	Human	Human	2.432578599	Human	Human	7.392784683	Human
Human	10.82999023	Human	Human	0.606068188	Human	Human	7.139764942	Human
Human	12.14280547	Human	Human	1.816102985	Human	Human	7.349432952	Human
Human	12.2960449	Human	Human	2.079334766	Human	Human	7.363532826	Human
Human	12.73366134	Human	Human	2.145052957	Human	Human	7.379229471	Human
Human	12.27026498	Human	Human	2.028720401	Human	Human	7.355404228	Human
Human	12.25030534	Human	Human	1.687694354	Human	Human	7.355245264	Human
Human	11.66544893	Human	Human	1.698781844	Human	Human	7.616670422	Human
Human	12.39650227	Human	Human	1.715944907	Human	Human	7.316357958	Human
Human	12.14862343	Human	Human	2.268642282	Human	Human	7.517359281	Human
Human	12.28855505	Human	Human	2.217975248	Human	Human	7.370880717	Human
Human	11.98024677	Human	Human	2.19010253	Human	Human	7.478334106	Human
Human	12.4644338	Human	Human	2.209859829	Human	Human	7.355822709	Human
Human	12.41385517	Human	Human	2.165793784	Human	Human	7.38829116	Human
Human	12.79751933	Human	Human	2.39866421	Human	Human	7.390406128	Human
Human	12.07540303	Human	Human	2.084802449	Human	Human	7.301185071	Human
Human	12.31767961	Human	Human	2.468524577	Human	Human	7.345255735	Human
Human	12.08910496	Human	Human	1.796122664	Human	Human	7.31870625	Human
Human	12.36899315	Human	Human	2.768794607	Human	Human	7.35162458	Human
Human	11.32283902	Human	Human	1.705744717	Human	Human	7.235047967	Human
Human	11.76946031	Human	Human	1.846837504	Human	Human	7.277165577	Human
Human	12.15909989	Human	Human	2.333378937	Human	Human	7.354968877	Human
Human	11.2786764	Human	Human	1.752811786	Human	Human	7.261992319	Human
Human	11.37055547	Human	Human	1.065821718	Human	Human	7.261012682	Human
Human	11.37795491	Human	Human	1.269753653	Human	Human	7.284654445	Human
Human	12.43015238	Human	Human	2.024098947	Human	Human	7.345861362	Human
Human	12.67273745	Human	Human	1.923828969	Human	Human	7.417258445	Human
Human	11.29761549	Human	Human	0.961255462	Human	Human	7.20564822	Human
Human	12.72462823	Human	Human	2.171261465	Human	Human	7.37310764	Human
Human	12.56821581	Human	Human	2.086586311	Human	Human	7.355843616	Human
Human	12.78132104	Human	Human	2.54833594	Human	Human	7.402283538	Human
Human	12.56811254	Human	Human	2.705541896	Human	Human	7.368644841	Human
Human	11.29667871	Human	Human	1.573132686	Human	Human	7.252153234	Human
Human	12.24454717	Human	Human	1.806156913	Human	Human	7.402310283	Human
Human	11.53865936	Human	Human	1.460713376	Human	Human	7.629456072	Human
Human	11.92939577	Human	Human	1.822504089	Human	Human	7.336148302	Human
Human	12.48924158	Human	Human	1.527429144	Human	Human	7.349161078	Human
Human	12.67789927	Human	Human	2.549764116	Human	Human	7.488497179	Human
Human	12.45084261	Human	Human	1.623437756	Human	Human	7.367230286	Human
Human	13.01166426	Human	Human	2.609940685	Human	Human	7.462852775	Human
Human	12.03403663	Human	Human	1.738845127	Human	Human	7.292738785	Human
Human	11.61244796	Human	Human	1.286647385	Human	Human	7.309228623	Human
Human	12.73090638	Human	Human	1.978410061	Human	Human	7.388881788	Human
Human	11.56762763	Human	Human	1.605663583	Human	Human	7.277102708	Human
Human	12.54107555	Human	Human	2.677891315	Human	Human	7.375981356	Human
Human	12.65594886	Human	Human	2.429921125	Human	Human	7.402889611	Human
Human	11.8811331	Human	Human	1.310955246	Human	Human	7.298338427	Human
Human	11.90912879	Human	Human	1.587372144	Human	Human	7.34427904	Human
Human	12.43606337	Human	Human	2.082407971	Human	Human	7.376464837	Human
Human	12.3069252	Human	Human	1.72409446	Human	Human	7.357072652	Human
Human	12.2614269	Human	Human	2.311742029	Human	Human	7.369614785	Human
Human	11.05244371	Human	Human	1.194053633	Human	Human	7.164327257	Human
Human	12.03432767	Human	Human	1.644498732	Human	Human	7.305228544	Human
Human	12.28900283	Human	Human	2.054001574	Human	Human	7.371654225	Human
Human	12.25212992	Human	Human	2.243014251	Human	Human	7.348976524	Human
Human	12.19315915	Human	Human	2.130350093	Human	Human	7.374479797	Human
Human	12.49722812	Human	Human	2.584267496	Human	Human	7.383719484	Human
Human	12.31658035	Human	Human	2.005282633	Human	Human	7.348595349	Human
Human	12.54302189	Human	Human	2.214236345	Human	Human	7.406375504	Human
Human	11.64868273	Human	Human	1.02436043	Human	Human	7.28769447	Human
Human	12.60080496	Human	Human	2.31474797	Human	Human	7.420366103	Human
Human	12.41996279	Human	Human	2.014981141	Human	Human	7.362075901	Human
Human	12.27876784	Human	Human	1.868690882	Human	Human	7.409725363	Human
Human	12.25649096	Human	Human	1.60175943	Human	Human	7.410311176	Human
Human	11.71918224	Human	Human	2.450668891	Human	Human	7.314902717	Human
Human	11.83124195	Human	Human	2.301954211	Human	Human	7.269889318	Human
Human	12.50548092	Human	Human	1.874856014	Human	Human	7.373366451	Human
Human	12.46619298	Human	Human	2.189916223	Human	Human	7.403714792	Human
Human	11.5950916	Human	Human	1.634261307	Human	Human	7.247140344	Human
Human	11.2417569	Human	Human	1.163226485	Human	Human	7.253322196	Human
Human	12.54165863	Human	Human	2.674601086	Human	Human	7.422428893	Human
Human	12.34474814	Human	Human	1.577916945	Human	Human	7.327165837	Human
Human	12.41385453	Human	Human	2.193329846	Human	Human	7.451475709	Human
Human	12.29223518	Human	Human	1.736971755	Human	Human	7.340078079	Human
Human	12.06787275	Human	Human	2.317028661	Human	Human	7.367249254	Human
Human	12.38628971	Human	Human	1.878017848	Human	Human	7.369221696	Human
Human	11.92962754	Human	Human	2.550791543	Human	Human	7.316784592	Human
Human	10.85277572	Human	Human	1.402172314	Human	Human	7.1894183	Human
Human	12.51428188	Human	Human	2.241985968	Human	Human	7.377061885	Human
Human	11.39831894	Human	Human	1.038333375	Human	Human	7.273582425	Human
Human	11.53156338	Human	Human	1.541059005	Human	Human	7.230435365	Human
Human	12.44188023	Human	Human	2.178027476	Human	Human	7.375046023	Human
Human	12.28942202	Human	Human	2.222062335	Human	Human	7.354075774	Human
Human	12.28584434	Human	Human	1.843463844	Human	Human	7.308238226	Human
Human	12.44822762	Human	Human	2.169058224	Human	Human	7.362060433	Human
Human	12.32331016	Human	Human	2.147449521	Human	Human	7.369377099	Human
Human	12.58820554	Human	Human	2.133643353	Human	Human	7.344025431	Human
Human	12.20067019	Human	Human	2.535706727	Human	Human	7.319735036	Human
Human	12.37630614	Human	Human	1.903520226	Human	Human	7.354838878	Human
Human	12.37138735	Human	Human	2.020392173	Human	Human	7.40344485	Human
Human	11.67824035	Human	Human	1.096327612	Human	Human	7.199602585	Human
Human	11.10220816	Human	Human	1.43374121	Human	Human	7.295770015	Human
Human	12.12790198	Human	Human	1.50650095	Human	Human	7.360463214	Human
Human	11.98827432	Human	Human	2.09978471	Human	Human	7.301711558	Human
Human	11.58544172	Human	Human	1.053277198	Human	Human	7.19940982	Human
Human	12.46340774	Human	Human	2.438532821	Human	Human	7.387676868	Human
Human	12.28479727	Human	Human	1.617995204	Human	Human	7.319711455	Human
Human	12.19888225	Human	Human	1.575297908	Human	Human	7.30745651	Human
Human	11.26425704	Human	Human	1.068726258	Human	Human	7.150591178	Human
Human	12.0672897	Human	Human	1.892094839	Human	Human	7.343417567	Human
Human	12.40708642	Human	Human	2.2450974	Human	Human	7.38317262	Human
Human	12.27930416	Human	Human	2.897329265	Human	Human	7.352177046	Human
Human	12.40723991	Human	Human	2.368222316	Human	Human	7.385403158	Human
Human	12.25718223	Human	Human	1.661824931	Human	Human	7.352755691	Human
Human	12.10327357	Human	Human	1.859966643	Human	Human	7.318696517	Human
Human	12.69903728	Human	Human	2.255933001	Human	Human	7.362060255	Human
Human	12.46300292	Human	Human	2.575283095	Human	Human	7.369403307	Human
Human	12.34093915	Human	Human	1.686779582	Human	Human	7.366469396	Human
Human	12.11592494	Human	Human	1.778806833	Human	Human	7.365547603	Human
Human	12.71799577	Human	Human	2.639748055	Human	Human	7.394403676	Human
Human	12.78107155	Human	Human	2.197158136	Human	Human	7.414721218	Human
Human	12.62237776	Human	Human	2.186713019	Human	Human	7.568326152	Human
Human	12.24062334	Human	Human	1.718218271	Human	Human	7.343204991	Human
Human	12.78387378	Human	Human	2.118129421	Human	Human	7.468943555	Human
Human	12.06449837	Human	Human	1.458775814	Human	Human	7.370537915	Human
Human	11.86387242	Human	Human	1.267952457	Human	Human	7.312656321	Human
Human	12.45330393	Human	Human	2.370692028	Human	Human	7.371290349	Human
Human	12.67155121	Human	Human	2.415688393	Human	Human	7.386663847	Human
Human	11.0902465	Human	Human	0.840853733	Human	Human	7.257868043	Human
Human	12.84415986	Human	Human	2.531563854	Human	Human	7.418080347	Human
Human	12.3376417	Human	Human	2.132534142	Human	Human	7.363280477	Human
Human	11.34937685	Human	Human	0.793764328	Human	Human	7.183639079	Human
Human	12.40737275	Human	Human	2.123670465	Human	Human	7.401732234	Human
Human	12.1013786	Human	Human	1.780028883	Human	Human	7.37298525	Human
Human	11.35443678	Human	Human	1.476664519	Human	Human	7.304947186	Human
Human	12.50094638	Human	Human	1.916467255	Human	Human	7.397745283	Human
Human	11.53700539	Human	Human	1.464899353	Human	Human	7.292105332	Human
Human	12.72624267	Human	Human	2.371920862	Human	Human	7.453112895	Human
Human	11.82989928	Human	Human	1.055485842	Human	Human	7.321908472	Human
Human	11.59534116	Human	Human	1.751952553	Human	Human	7.245485765	Human
Human	11.70717077	Human	Human	1.822680187	Human	Human	7.329386272	Human
Human	12.94096098	Human	Human	2.224397096	Human	Human	7.436745433	Human
Human	12.14011693	Human	Human	1.474402222	Human	Human	7.389275701	Human
Human	12.7245793	Human	Human	2.037573721	Human	Human	7.369959529	Human
Human	11.90457174	Human	Human	1.571043654	Human	Human	7.317050847	Human
Human	13.04827046	Human	Human	2.783769949	Human	Human	7.422519719	Human
Human	12.80162842	Human	Human	2.061730717	Human	Human	7.39239589	Human
Human	12.36870117	Human	Human	2.095939444	Human	Human	7.499241824	Human
Human	12.08037265	Human	Human	2.060137446	Human	Human	7.439534837	Human
Human	12.3270723	Human	Human	2.435366936	Human	Human	7.419887857	Human
Human	11.58852255	Human	Human	1.777677807	Human	Human	7.65887268	Human
Human	12.34118797	Human	Human	2.266944443	Human	Human	7.395182581	Human
Human	11.98602327	Human	Human	1.385285306	Human	Human	7.352410649	Human
Human	12.51656125	Human	Human	2.268513279	Human	Human	7.366731447	Human
Human	12.38124883	Human	Human	1.800399571	Human	Human	7.403364083	Human
Human	12.60567881	Human	Human	2.356541157	Human	Human	7.387934308	Human
Human	12.57413769	Human	Human	2.321531959	Human	Human	7.419099434	Human
Human	12.01658194	Human	Human	1.483881535	Human	Human	7.307860714	Human
Human	12.17466091	Human	Human	1.301890936	Human	Human	7.352882975	Human
Human	12.65122209	Human	Human	2.592774077	Human	Human	7.442186428	Human
Human	9.891183021	Human	Human	0.986006486	Human	Human	7.879992138	Human
Human	12.65951078	Human	Human	2.273877974	Human	Human	7.408317816	Human
Human	12.03549138	Human	Human	1.93406396	Human	Human	7.349347034	Human
Human	12.18849598	Human	Human	2.455455887	Human	Human	7.435423042	Human
Human	12.18607942	Human	Human	2.546830929	Human	Human	7.365688189	Human
Human	12.20371284	Human	Human	1.958054819	Human	Human	7.37818275	Human
Human	12.62309982	Human	Human	2.381867473	Human	Human	7.382569404	Human
Human	11.61975265	Human	Human	1.33470346	Human	Human	7.272728905	Human
Human	12.45858874	Human	Human	2.113736005	Human	Human	7.389542814	Human
Human	11.97372383	Human	Human	1.88117278	Human	Human	7.313205287	Human
Human	12.05248622	Human	Human	1.478758199	Human	Human	7.307511834	Human
Human	12.67590737	Human	Human	2.210711547	Human	Human	7.421981086	Human
Human	12.15483613	Human	Human	1.839298194	Human	Human	7.409665345	Human
Human	11.34793327	Human	Human	0.929343478	Human	Human	7.202597036	Human
Human	12.00173286	Human	Human	1.668369956	Human	Human	7.356445744	Human
Human	12.1747989	Human	Human	2.126185404	Human	Human	7.360993819	Human
Human	12.57424403	Human	Human	2.080861344	Human	Human	7.416800963	Human
Human	11.95495799	Human	Human	1.481608622	Human	Human	7.337018121	Human
Human	11.53806335	Human	Human	1.706826843	Human	Human	7.294582935	Human
Human	12.39750799	Human	Human	1.863590281	Human	Human	7.371212601	Human
Human	12.53439616	Human	Human	2.125517632	Human	Human	7.564424969	Human
Human	12.53035149	Human	Human	2.014280024	Human	Human	7.356255283	Human
Human	12.76805817	Human	Human	2.586359397	Human	Human	7.431763527	Human
Human	12.12523153	Human	Human	2.021923035	Human	Human	7.391065265	Human
Human	11.52096112	Human	Human	1.774517259	Human	Human	7.260104763	Human
Human	11.47462739	Human	Human	1.551432242	Human	Human	7.260721794	Human
Human	12.50729202	Human	Human	2.730733943	Human	Human	7.429722216	Human
Human	12.50162546	Human	Human	2.167890178	Human	Human	7.385726088	Human
Human	12.91241106	Human	Human	2.571909052	Human	Human	7.425733782	Human
Human	12.88247593	Human	Human	2.544341162	Human	Human	7.46157116	Human
Human	11.39191893	Human	Human	1.588011357	Human	Human	7.278424736	Human
Human	11.62253696	Human	Human	1.435308751	Human	Human	7.329194027	Human
Human	11.99468303	Human	Human	2.345310772	Human	Human	7.354296804	Human
Human	11.47861284	Human	Human	1.280774437	Human	Human	7.310992855	Human
Human	12.45309985	Human	Human	1.619210933	Human	Human	7.361571518	Human
Human	12.13925392	Human	Human	2.186759554	Human	Human	7.378093299	Human
Human	12.0937457	Human	Human	2.088975261	Human	Human	7.463064021	Human
Human	11.33124913	Human	Human	1.64116804	Human	Human	7.32737654	Human
Human	12.15943905	Human	Human	2.807720144	Human	Human	7.476667869	Human
Human	12.77861995	Human	Human	2.337236827	Human	Human	7.403440254	Human
Human	12.50870594	Human	Human	1.727464736	Human	Human	7.368142445	Human
Human	11.99442277	Human	Human	2.046280116	Human	Human	7.337806191	Human
Human	11.96892623	Human	Human	2.324650765	Human	Human	7.382233464	Human
Human	12.34834446	Human	Human	2.170790454	Human	Human	7.372260934	Human
Human	12.11152039	Human	Human	1.690878705	Human	Human	7.33135059	Human
Human	12.83947185	Human	Human	1.924229703	Human	Human	7.408827635	Human
Human	12.29286417	Human	Human	2.537479583	Human	Human	7.435698528	Human
Human	12.20899505	Human	Human	1.357049815	Human	Human	7.370412655	Human
Human	12.68849013	Human	Human	2.102253493	Human	Human	7.462915546	Human
Human	11.77264165	Human	Human	1.280492778	Human	Human	7.321978858	Human
Human	12.55861696	Human	Human	2.231258455	Human	Human	7.391780388	Human
Human	12.60473251	Human	Human	2.19188409	Human	Human	7.440819425	Human
Human	12.98532011	Human	Human	2.020385187	Human	Human	7.437301349	Human
Human	12.83217168	Human	Human	1.987219363	Human	Human	7.387781873	Human
Human	11.98356042	Human	Human	2.314935864	Human	Human	7.413686564	Human
Human	11.84728169	Human	Human	2.22275164	Human	Human	7.398406968	Human
Human	12.97383245	Human	Human	2.352339041	Human	Human	7.428522368	Human
Human	12.54442565	Human	Human	2.033033342	Human	Human	7.380612595	Human
Human	12.18648126	Human	Human	1.99881595	Human	Human	7.326138874	Human
Human	11.95749176	Human	Human	1.806801734	Human	Human	7.296006992	Human
Human	12.46500471	Human	Human	1.999401524	Human	Human	7.431163689	Human
Human	12.76429887	Human	Human	2.493314943	Human	Human	7.402294867	Human
Human	12.82116884	Human	Human	2.107871124	Human	Human	7.390159765	Human
Human	12.54575769	Human	Human	2.109497432	Human	Human	7.373705578	Human
Human	12.12404054	Human	Human	1.846742322	Human	Human	7.34471147	Human
Human	12.33081405	Human	Human	2.164541584	Human	Human	7.363093596	Human
Human	12.60551654	Human	Human	2.007403319	Human	Human	7.361773616	Human
Human	12.61506378	Human	Human	2.552698157	Human	Human	7.415001831	Human
Human	11.32124163	Human	Human	1.520901037	Human	Human	7.238894388	Human
Human	12.91789899	Human	Human	2.360420048	Human	Human	7.425472425	Human
Human	12.54354016	Human	Human	1.858108941	Human	Human	7.355985729	Human
Human	12.67326296	Human	Human	2.699806969	Human	Human	7.369919457	Human
Human	12.45883142	Human	Human	1.971103434	Human	Human	7.357395086	Human
Human	12.28811432	Human	Human	2.050888509	Human	Human	7.406233902	Human
Human	11.73989141	Human	Human	1.884288451	Human	Human	7.249031233	Human
Human	12.26327329	Human	Human	1.84990776	Human	Human	7.35310273	Human
Human	12.60450736	Human	Human	2.394131408	Human	Human	7.401623171	Human
Human	11.56413577	Human	Human	2.150178721	Human	Human	7.270581911	Human
Human	12.38314345	Human	Human	1.709194621	Human	Human	7.381394773	Human
Human	12.12138419	Human	Human	1.396382438	Human	Human	7.336454483	Human
Human	12.1690739	Human	Human	1.210233648	Human	Human	7.375509618	Human
Human	11.34152691	Human	Human	1.852591107	Human	Human	7.344851928	Human
Human	12.36237637	Human	Human	2.056328464	Human	Human	7.338324732	Human
Human	12.48516086	Human	Human	2.304146169	Human	Human	7.366814569	Human
Human	12.65616343	Human	Human	2.84980335	Human	Human	7.436286752	Human
Human	12.43633573	Human	Human	2.325900307	Human	Human	7.406227113	Human
Human	11.94765836	Human	Human	1.844571464	Human	Human	7.383119402	Human
Human	12.62797668	Human	Human	2.0214844	Human	Human	7.438544405	Human
Human	12.75722079	Human	Human	2.031903088	Human	Human	7.394889238	Human
Human	12.17885425	Human	Human	2.103217301	Human	Human	7.370758962	Human
Human	12.0223829	Human	Human	1.881596493	Human	Human	7.316270264	Human
Human	12.68870268	Human	Human	2.235392062	Human	Human	7.356093054	Human
Human	12.61077832	Human	Human	2.017332148	Human	Human	7.364041225	Human
Human	12.25239942	Human	Human	2.272816423	Human	Human	7.386088633	Human
Human	12.27114934	Human	Human	2.034555724	Human	Human	7.354092891	Human
Human	12.55729696	Human	Human	2.354626571	Human	Human	7.360252866	Human
Human	12.8577991	Human	Human	2.633404967	Human	Human	7.367487632	Human
Human	12.09363559	Human	Human	2.013605118	Human	Human	7.359901703	Human
Human	11.3345933	Human	Human	1.072329875	Human	Human	7.268185866	Human
Human	12.6707558	Human	Human	2.076932477	Human	Human	7.389388501	Human
Human	12.52250958	Human	Human	2.091249086	Human	Human	7.397800977	Human
Human	12.98266923	Human	Human	2.579770474	Human	Human	7.39989726	Human
Human	12.89106324	Human	Human	2.640955448	Human	Human	7.411887438	Human
Human	12.77657379	Human	Human	2.401926816	Human	Human	7.402273551	Human
Human	12.77470396	Human	Human	1.917196456	Human	Human	7.380746193	Human
Human	12.59966105	Human	Human	2.101249183	Human	Human	7.390109756	Human
Human	12.23032213	Human	Human	1.735565266	Human	Human	7.351247846	Human
Human	12.87624701	Human	Human	2.496702387	Human	Human	7.396115439	Human
Human	11.97203861	Human	Human	1.513365619	Human	Human	7.288731321	Human
Human	12.2140669	Human	Human	1.766258131	Human	Human	7.424694109	Human
Human	12.96868437	Human	Human	2.602230348	Human	Human	7.435082773	Human
Human	12.22301206	Human	Human	1.793851479	Human	Human	7.331357431	Human
Human	11.84020641	Human	Human	1.443907996	Human	Human	7.34489771	Human
Human	12.25175656	Human	Human	2.447356466	Human	Human	7.414372948	Human
Human	11.77811634	Human	Human	1.769894286	Human	Human	7.324424408	Human
Human	12.57472391	Human	Human	2.24302312	Human	Human	7.377290958	Human
Human	10.77808531	Human	Human	1.41022929	Human	Human	7.245338671	Human
Human	12.26127167	Human	Human	1.744259114	Human	Human	7.379435746	Human
Human	11.18797162	Human	Human	1.374701749	Human	Human	7.18233823	Human
Human	12.60164407	Human	Human	2.326289389	Human	Human	7.410297359	Human
Human	11.03704625	Human	Human	1.593444814	Human	Human	7.218343126	Human
Human	12.98617974	Human	Human	2.907495314	Human	Human	7.420385735	Human
Human	12.29673477	Human	Human	2.216942566	Human	Human	7.453393622	Human
Human	11.78737449	Human	Human	1.015127527	Human	Human	7.257724294	Human
Human	12.36620602	Human	Human	1.890262113	Human	Human	7.383048342	Human
Human	11.70758029	Human	Human	1.381618166	Human	Human	7.291747958	Human
Human	12.50657775	Human	Human	2.517291648	Human	Human	7.414071686	Human
Human	12.2563168	Human	Human	2.17862555	Human	Human	7.55620537	Human
Human	11.95357824	Human	Human	1.8216524	Human	Human	7.346078014	Human
Human	12.33254672	Human	Human	2.372868104	Human	Human	7.402282707	Human
Human	12.64175628	Human	Human	2.264368826	Human	Human	7.408595573	Human
Human	10.92520956	Human	Human	1.243665479	Human	Human	7.345059366	Human
Human	11.96734445	Human	Human	1.286164328	Human	Human	7.325230134	Human
Human	12.46852858	Human	Human	1.782749677	Human	Human	7.447071535	Human
