Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
SDQDuC5	MD70dduC2	0.989546061	Duodenum	SDQDuC5	MD70dduC2	0.928243408	Duodenum	SDQDuC5	MD70dduC2	0.976378506	Duodenum
SDQDuC7	MD70dduC2	0.994520745	Duodenum	SDQDuC7	MD70dduC2	0.966130564	Duodenum	SDQDuC7	MD70dduC2	0.987209869	Duodenum
WHYDuC1	MD70dduC2	0.988000402	Duodenum	WHYDuC1	MD70dduC2	0.899575291	Duodenum	WHYDuC1	MD70dduC2	0.958038746	Duodenum
WHYDuC2	MD70dduC2	0.991336135	Duodenum	WHYDuC2	MD70dduC2	0.930958163	Duodenum	WHYDuC2	MD70dduC2	0.975658877	Duodenum
WHYDuC6	MD70dduC2	0.988144009	Duodenum	WHYDuC6	MD70dduC2	0.904861199	Duodenum	WHYDuC6	MD70dduC2	0.970424212	Duodenum
WHYDuC7	MD70dduC2	0.9892343	Duodenum	WHYDuC7	MD70dduC2	0.922319172	Duodenum	WHYDuC7	MD70dduC2	0.973862803	Duodenum
WHYDuC8	MD70dduC2	0.990931819	Duodenum	WHYDuC8	MD70dduC2	0.946799968	Duodenum	WHYDuC8	MD70dduC2	0.985847158	Duodenum
MD70dduC1	MD70dduC3	0.168985658	Duodenum	MD70dduC1	MD70dduC3	0.314316532	Duodenum	MD70dduC1	MD70dduC3	0.875020779	Duodenum
MD70dduC2	MD70dduC3	0.15725361	Duodenum	MD70dduC2	MD70dduC3	0.273580827	Duodenum	MD70dduC2	MD70dduC3	0.796871239	Duodenum
MD70dduC4	MD70dduC3	0.187448317	Duodenum	MD70dduC4	MD70dduC3	0.299870991	Duodenum	MD70dduC4	MD70dduC3	0.75675761	Duodenum
MD70dduC5	MD70dduC3	0.170541889	Duodenum	MD70dduC5	MD70dduC3	0.323083339	Duodenum	MD70dduC5	MD70dduC3	0.896635011	Duodenum
MD70dduC7	MD70dduC3	0.136963254	Duodenum	MD70dduC7	MD70dduC3	0.272388734	Duodenum	MD70dduC7	MD70dduC3	0.878958809	Duodenum
PD70dduC1	MD70dduC3	0.99080059	Duodenum	PD70dduC1	MD70dduC3	0.71084689	Duodenum	PD70dduC1	MD70dduC3	0.909260939	Duodenum
PD70dduC2	MD70dduC3	0.990294975	Duodenum	PD70dduC2	MD70dduC3	0.605126197	Duodenum	PD70dduC2	MD70dduC3	0.91444611	Duodenum
PD70dduC3	MD70dduC3	0.990718978	Duodenum	PD70dduC3	MD70dduC3	0.605667349	Duodenum	PD70dduC3	MD70dduC3	0.862430804	Duodenum
PD70dduC4	MD70dduC3	0.989720982	Duodenum	PD70dduC4	MD70dduC3	0.540541353	Duodenum	PD70dduC4	MD70dduC3	0.897563079	Duodenum
PD70dduC5	MD70dduC3	0.990742828	Duodenum	PD70dduC5	MD70dduC3	0.68133048	Duodenum	PD70dduC5	MD70dduC3	0.896811832	Duodenum
PD70dduC6	MD70dduC3	0.990830497	Duodenum	PD70dduC6	MD70dduC3	0.61213024	Duodenum	PD70dduC6	MD70dduC3	0.894058945	Duodenum
SDQDuC1	MD70dduC3	0.993511976	Duodenum	SDQDuC1	MD70dduC3	0.949267792	Duodenum	SDQDuC1	MD70dduC3	0.96522395	Duodenum
SDQDuC2	MD70dduC3	0.990066844	Duodenum	SDQDuC2	MD70dduC3	0.932588877	Duodenum	SDQDuC2	MD70dduC3	0.962510907	Duodenum
SDQDuC3	MD70dduC3	0.993820247	Duodenum	SDQDuC3	MD70dduC3	0.952950946	Duodenum	SDQDuC3	MD70dduC3	0.964885856	Duodenum
SDQDuC4	MD70dduC3	0.989589112	Duodenum	SDQDuC4	MD70dduC3	0.910688956	Duodenum	SDQDuC4	MD70dduC3	0.953389675	Duodenum
SDQDuC5	MD70dduC3	0.988980692	Duodenum	SDQDuC5	MD70dduC3	0.891764431	Duodenum	SDQDuC5	MD70dduC3	0.934297104	Duodenum
SDQDuC7	MD70dduC3	0.994236983	Duodenum	SDQDuC7	MD70dduC3	0.946341327	Duodenum	SDQDuC7	MD70dduC3	0.965331536	Duodenum
WHYDuC1	MD70dduC3	0.987222017	Duodenum	WHYDuC1	MD70dduC3	0.858579131	Duodenum	WHYDuC1	MD70dduC3	0.890836746	Duodenum
WHYDuC2	MD70dduC3	0.990821475	Duodenum	WHYDuC2	MD70dduC3	0.897048664	Duodenum	WHYDuC2	MD70dduC3	0.935739979	Duodenum
WHYDuC6	MD70dduC3	0.987544354	Duodenum	WHYDuC6	MD70dduC3	0.866115851	Duodenum	WHYDuC6	MD70dduC3	0.918815609	Duodenum
WHYDuC7	MD70dduC3	0.988428852	Duodenum	WHYDuC7	MD70dduC3	0.88550307	Duodenum	WHYDuC7	MD70dduC3	0.934781457	Duodenum
WHYDuC8	MD70dduC3	0.989919609	Duodenum	WHYDuC8	MD70dduC3	0.922840167	Duodenum	WHYDuC8	MD70dduC3	0.958408081	Duodenum
MD70dduC1	MD70dduC4	0.169551577	Duodenum	MD70dduC1	MD70dduC4	0.25381667	Duodenum	MD70dduC1	MD70dduC4	0.81506188	Duodenum
MD70dduC2	MD70dduC4	0.178513928	Duodenum	MD70dduC2	MD70dduC4	0.245131304	Duodenum	MD70dduC2	MD70dduC4	0.776648064	Duodenum
MD70dduC3	MD70dduC4	0.187448317	Duodenum	MD70dduC3	MD70dduC4	0.299870991	Duodenum	MD70dduC3	MD70dduC4	0.75675761	Duodenum
MD70dduC5	MD70dduC4	0.186150798	Duodenum	MD70dduC5	MD70dduC4	0.271443449	Duodenum	MD70dduC5	MD70dduC4	0.847568945	Duodenum
MD70dduC7	MD70dduC4	0.173438094	Duodenum	MD70dduC7	MD70dduC4	0.26266159	Duodenum	MD70dduC7	MD70dduC4	0.761914465	Duodenum
PD70dduC1	MD70dduC4	0.993055906	Duodenum	PD70dduC1	MD70dduC4	0.81925534	Duodenum	PD70dduC1	MD70dduC4	0.963852174	Duodenum
PD70dduC2	MD70dduC4	0.992348401	Duodenum	PD70dduC2	MD70dduC4	0.654974425	Duodenum	PD70dduC2	MD70dduC4	0.96635144	Duodenum
PD70dduC3	MD70dduC4	0.993206987	Duodenum	PD70dduC3	MD70dduC4	0.732280102	Duodenum	PD70dduC3	MD70dduC4	0.934476282	Duodenum
PD70dduC4	MD70dduC4	0.992566245	Duodenum	PD70dduC4	MD70dduC4	0.680901541	Duodenum	PD70dduC4	MD70dduC4	0.956594588	Duodenum
PD70dduC5	MD70dduC4	0.992944402	Duodenum	PD70dduC5	MD70dduC4	0.799986114	Duodenum	PD70dduC5	MD70dduC4	0.950139637	Duodenum
PD70dduC6	MD70dduC4	0.993175346	Duodenum	PD70dduC6	MD70dduC4	0.654664522	Duodenum	PD70dduC6	MD70dduC4	0.954670681	Duodenum
SDQDuC1	MD70dduC4	0.994985093	Duodenum	SDQDuC1	MD70dduC4	0.970052004	Duodenum	SDQDuC1	MD70dduC4	0.987122631	Duodenum
SDQDuC2	MD70dduC4	0.992902283	Duodenum	SDQDuC2	MD70dduC4	0.95816396	Duodenum	SDQDuC2	MD70dduC4	0.986280024	Duodenum
SDQDuC3	MD70dduC4	0.994909416	Duodenum	SDQDuC3	MD70dduC4	0.973200312	Duodenum	SDQDuC3	MD70dduC4	0.987095675	Duodenum
SDQDuC4	MD70dduC4	0.992619348	Duodenum	SDQDuC4	MD70dduC4	0.945050912	Duodenum	SDQDuC4	MD70dduC4	0.981882609	Duodenum
SDQDuC5	MD70dduC4	0.992283931	Duodenum	SDQDuC5	MD70dduC4	0.93187773	Duodenum	SDQDuC5	MD70dduC4	0.975139629	Duodenum
SDQDuC7	MD70dduC4	0.995676625	Duodenum	SDQDuC7	MD70dduC4	0.967304224	Duodenum	SDQDuC7	MD70dduC4	0.987172098	Duodenum
WHYDuC1	MD70dduC4	0.990708381	Duodenum	WHYDuC1	MD70dduC4	0.905932105	Duodenum	WHYDuC1	MD70dduC4	0.960165409	Duodenum
WHYDuC2	MD70dduC4	0.993598531	Duodenum	WHYDuC2	MD70dduC4	0.934710929	Duodenum	WHYDuC2	MD70dduC4	0.97648911	Duodenum
