name	ANCeC1	ANCeC2	ANCeC3	ANCeC4	ANCeC5	ANCeC6	ANCeC7	HBCeC1	HBCeC2	HBCeC3	HBCeC4	HBCeC5	HBCeC6	HNCeC10	HNCeC11	HNCeC12	HNCeC13	HNCeC14	HNCeC15	HNCeC16	HNCeC17	HNCeC18	HNCeC4	HNCeC5	HNCeC6	HNCeC7	HNCeC8	JSCeC1	JSCeC2	JSCeC3	JSCeC4	JSCeC5	JSCeC6	MD70d_CeC1	MD70d_CeC2	MD70d_CeC3	MD70d_CeC4	MD70d_CeC5	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	MD70dCeC1	MD70dCeC2	MD70dCeC3	MD70dCeC4	MD70dCeC5	MD70dCeC6	PD70d_CeC1	PD70d_CeC2	PD70d_CeC3	PD70d_CeC4	PD70d_CeC5	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	PD70dCeC1	PD70dCeC2	PD70dCeC3	PD70dCeC4	PD70dCeC5	PD70dCeC6	SDCeC1	SDCeC2	SDCeC3	SDCeC4	SDCeC5	SDCeC6	SHCeC1	SHCeC12	SHCeC15	SHCeC16	SHCeC17	SHCeC18	SHCeC24	SHCeC26	SHCeC27	SHCeC28	SHCeC4	SHCeC7	SXCeC1	SXCeC2	SXCeC3	SXCeC4	SXCeC5	SXCeC6	WNCeC1L	WNCeC2L	WNFCeC1L	WNFCeC2L	WNFCeC3L	WNFCeC4L	CeC1	CeC105	CeC108	CeC112	CeC113	CeC123	CeC124	CeC139	CeC149	CeC161	CeC164	CeC166	CeC186	CeC192	CeC198	CeC200	CeC28	CeC35	CeC38	CeC41	CeC42	CeC51	CeC6	CeC61	CeC66	CeC67	CeC68	CeC69	CeC70	CeC89	FJCeC1	FJCeC2	FJCeC3	FJCeC4	FJCeC5	FJCeC6	GZCeC-10	GZCeC-24	GZCeC-25	GZCeC-26	GZCeC-27	GZCeC-28	GZCeC-29	GZCeC-30	GZCeC-6	GZCeC-7	GZCeC-8	GZCeC-9	HEBCeC-10	HEBCeC-15	HEBCeC-17	HEBCeC-18	HEBCeC-21	HEBCeC-22	HEBCeC-25	HEBCeC-30	HEBCeC-4	HEBCeC-5	HEBCeC-7	HEBCeC-8	SDQCeC10L	SDQCeC11L	SDQCeC1L	SDQCeC1R	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC4R	SDQCeC5L	SDQCeC7R	SDQCeC8L	SDQCeC8R	SDQCeC9L	SDQCeC9R	SSCeC-1	SSCeC-10	SSCeC-2	SSCeC-3	SSCeC-4	SSCeC-5	SSCeC-6	SSCeC-7	SSCeC-8	SSCeC-9	WFHCeC11L	WFHCeC12L	WFHCeC13L	WFHCeC14L	WFHCeC16L	WFHCeC1L	WFHCeC21L	WFHCeC22L	WFHCeC23L	WFHCeC24L	WFHCeC25L	WFHCeC2L	WFHCeC3L	WFHCeC4L	WFHCeC6L	WHYCeC1L	WHYCeC1R	WHYCeC2L	WHYCeC2R	WHYCeC3L	WHYCeC3R	WHYCeC4L	WHYCeC4R	WHYCeC5L	WHYCeC5R	WHYCeC6L	WHYCeC6R	WHYCeC7L	WHYCeC7R	WHYCeC8
1.7 Glycan biosynthesis and metabolism	11940.19936	11586.67251	12400.96479	12526.49169	13271.83857	11900.58323	11864.78557	14390.11588	12801.83902	13071.30093	14240.80934	12575.5102	13730.17762	11307.50148	12015.77752	15180.53678	15468.17013	12151.73156	12754.40779	12667.98374	13007.33946	11940.87415	15855.516	15270.15182	14138.67724	12836.86792	13404.62831	10540.79798	9777.180636	10741.11963	11514.6373	9942.447464	10327.68484	14625.27152	13255.28984	13163.75741	12398.26704	12388.47743	12059.1486	14244.31344	13823.04763	14522.96264	13280.33316	12504.85816	12324.15353	11942.60861	13779.50182	13688.83353	13511.22734	13717.17702	13748.05994	14144.66972	13929.94078	14314.96457	13979.39569	13839.36107	13549.75568	13979.98208	13803.26332	13948.17623	13987.66632	11903.25524	11862.92167	11756.43549	11775.59042	12119.37362	11880.0064	10509.84139	11242.50516	10180.52277	10804.35035	10788.64557	9908.592919	11628.15926	10279.63387	10930.15313	11728.96381	10286.786	10782.00065	12402.49763	11463.54984	11345.59603	12103.84172	11763.9694	11939.76533	18148.46785	13656.87723	16897.99074	14488.28445	16042.55206	16683.67053	10202.05525	9929.863328	10719.74561	11662.17046	11550.07322	10697.68662	13378.00472	11426.02491	12074.49973	11388.58366	11692.54485	11406.22831	13638.20008	13613.92597	13938.80626	12012.89539	11964.09133	11133.54586	10506.04006	11825.15124	11465.79534	12288.18841	12553.70681	10856.67687	15006.40234	11139.70133	10789.38501	10088.83866	10249.42206	11352.44758	13265.48556	14926.99479	14151.88669	15972.34127	13913.05734	14420.85147	15218.90242	11737.52245	15893.623	16913.28752	6045.543639	19059.55037	5035.832924	16277.96641	15930.99345	13356.66911	12659.47884	14476.22503	11544.6141	14201.90389	15419.59909	12915.7588	15249.49016	14609.87591	14589.50017	15626.50845	12227.97661	13655.33934	12003.03601	12247.66566	15998.81786	14286.26168	12980.9401	14286.73508	15478.3193	13346.98502	13548.41751	14696.87715	12985.45313	11023.28353	14867.76627	15853.12453	15150.18652	15846.59767	14595.01681	13454.74474	14605.40837	18061.7141	17726.99967	14759.04813	14491.36289	12587.3579	16347.50329	10810.50811	16436.17679	16386.11307	15462.83842	13911.36557	12268.46916	16190.79504	15530.99826	14338.90812	16779.44992	12705.76848	14506.29658	13448.89361	13927.55783	16137.9732	15120.69055	17453.61964	15060.89531	17330.49209	16456.63408	14350.75582	15905.1373	19033.2042	18376.70973	19700.72101	19620.50515	17800.63733	17834.73126	17797.67196	17462.18152	19092.86535
1.8 Metabolism of cofactors and vitamins	25453.05877	24775.08399	25064.8905	26036.4603	24814.77791	25518.19103	24644.04279	26242.80228	26825.54826	26486.27556	25658.43512	24071.30316	25257.42688	23699.33638	24835.87021	26757.53798	27159.19675	25257.06973	24945.72641	25328.494	24580.42456	24778.22073	25452.64143	25306.10638	25350.58063	25069.03957	26466.78942	24542.68087	24369.31719	25613.8074	26054.31502	24360.36312	26014.35332	27251.69444	25979.15282	26663.29317	26032.7187	25457.08564	24739.31143	26121.82681	25375.65198	27071.33601	25887.46227	25353.77811	25905.24775	24549.90789	25399.83056	25244.83845	26355.47331	25647.01745	26411.22969	26128.28977	26518.84047	26449.02223	27033.85682	25702.32234	26295.04625	25897.39994	26570.36385	26601.27857	27248.41659	24546.24439	26165.13313	25665.4995	26199.95321	25937.25993	24646.84337	24013.4632	23601.45831	24406.37768	23256.12798	22697.8166	22807.06754	24223.58998	22940.29114	22843.9617	24560.04475	23665.32766	23260.67178	26957.40292	25906.59612	25603.62739	26241.89694	25758.79317	26109.8979	28326.19396	30833.24147	27365.75335	29113.47314	30398.85347	28728.87427	22188.33244	21405.6102	23103.09808	23561.70341	25125.36828	22234.03689	26919.29828	23780.07425	24105.16146	24143.59899	26132.19584	24443.56287	25996.65811	25038.98174	29122.38984	24966.95327	24532.26882	23594.91624	22810.67114	24303.49381	23487.8926	25178.94954	24960.42736	23225.56628	28701.18387	24582.87978	23804.99452	22090.36092	21513.32107	23827.3191	28044.36929	28412.12972	28481.40061	30212.82505	29085.28489	28743.07138	27919.30916	19309.67313	37001.73908	27603.51127	13976.52901	35925.4969	12867.11006	28258.07162	28529.91548	23984.30952	28417.96535	35303.1657	22999.7977	27614.1962	27940.16389	25579.19954	26156.94389	27488.66658	26314.18844	28495.9892	23030.76399	25677.83112	25546.67343	23691.63371	29483.37167	27492.06673	25539.32554	27588.26897	28363.77479	26507.74137	26068.8464	28020.46396	25422.92654	23729.05282	29363.60449	29156.92523	28858.09145	29635.51132	27693.462	26552.12522	27372.05812	30522.71206	31385.86476	26922.07487	26851.60941	25921.98749	29057.37182	23960.93445	31027.87937	30352.00507	28982.61191	27934.21592	27184.17601	30330.64405	29028.76941	27957.50699	29916.92491	26482.75466	28124.39398	28194.94757	28533.43715	30356.68648	29951.83646	29167.02532	28634.31382	28969.49222	28724.6277	25526.06912	28665.26419	30270.15209	35055.68847	30040.48576	30801.69278	30143.7135	30527.61504	29681.10933	30910.24851	32174.11166
1.9 Metabolism of terpenoids and polyketides	4672.43412	4445.789827	4443.099085	4695.676844	4441.562819	4540.598982	4675.384848	4798.871295	5107.40023	5042.463003	4734.212918	4360.358513	4611.383575	4755.444231	4931.439566	5198.947749	5054.072423	4843.656419	4821.664651	4888.840515	5047.377666	4830.770629	4940.219167	4567.639152	4852.779119	4928.554709	5084.016748	4222.660763	4678.699135	4360.088628	4663.765663	4553.073018	4531.667767	5148.386404	5024.734405	4949.842348	4879.757688	5136.572387	5181.204597	5039.942437	5044.090012	5136.581377	5005.699216	4977.11165	4850.456689	5150.766347	5014.580066	5011.698944	5298.863277	5040.555085	5310.199521	5131.757542	5324.764729	5177.156399	5361.757991	5042.800808	5276.153362	5034.403337	5347.650847	5324.243718	5350.736487	4389.320387	4512.630608	4521.838884	4469.485399	4614.082754	4431.413406	4652.925317	4506.405232	4961.328403	4693.184678	4877.392565	4608.922492	4536.201327	4610.686661	4593.421824	4763.778534	4693.967861	5028.255353	4881.473464	4664.949684	4563.162809	4694.289163	4701.805801	4666.563756	5438.848095	5350.407305	4979.362051	6298.817726	4730.312447	5481.893676	4097.642747	3867.709128	4366.797007	4412.527122	4452.618119	4488.254506	5055.921108	4581.908152	4627.285451	4665.192448	4786.016111	4548.230793	4913.881177	4570.948541	5050.021733	4511.794577	4594.387307	4233.590038	4297.586912	4659.500589	4433.542688	4686.487016	4868.922934	4177.42927	5186.42129	4487.414383	4420.520225	4073.766363	4381.638681	4439.295432	5309.104761	5146.392636	5274.496842	5551.229483	5095.392365	5150.506174	4917.51522	3969.549796	7566.452912	4806.994463	2280.531384	7493.826449	2376.27536	4955.985684	4904.998881	4042.349097	5336.858941	6445.399939	4162.254885	5266.405788	5135.76803	4646.747471	4799.330912	5105.142823	4812.277798	5032.16854	4344.039578	4907.243078	4700.712837	4528.425429	5396.331991	5316.951786	4996.753839	5071.102154	5456.201556	5076.167005	4913.245576	5053.329004	5135.577036	4969.214221	5589.719798	5426.667572	5629.682479	5392.051772	4872.692347	5286.299617	4990.670702	5233.10558	5245.044138	4998.073524	4787.680443	4778.521058	5384.368549	4757.093142	5632.14763	5479.516173	5314.821989	5103.391495	4931.477129	5539.573803	5237.181326	5248.136696	5518.110637	4912.423423	5296.144163	5204.139637	5321.522269	5502.60615	5434.832283	5441.600327	5312.952057	5433.568037	5362.941161	5042.226421	5275.597978	5747.283434	5505.521255	5485.716436	5594.409058	5381.34031	5406.55731	5409.612232	5626.666085	6326.623487
2.1 Transcription	1979.925609	2131.361114	2127.881624	1890.639207	1978.650896	1959.184851	2140.567568	2046.850207	2300.964201	2229.09278	1944.798584	1900.340304	1926.540674	1922.496095	1906.18933	1848.613159	1694.579787	1973.428907	1950.294099	1795.945257	1846.215693	1930.408501	1658.458691	1558.323676	1842.752201	1794.6077	1891.7411	2053.969739	2094.481567	2228.293811	1998.685599	2074.85288	2057.576517	1587.550482	1449.282114	1494.562681	1355.887662	1774.907469	1599.371451	1595.264174	1453.614207	1580.293534	1451.762235	1724.721299	1329.327876	1636.523799	1467.771868	1794.11681	1562.557328	1874.535355	1666.171947	1783.841762	1599.721515	1778.147781	1565.467139	1875.603924	1573.085851	1733.25465	1668.672847	1590.87069	1556.752916	2244.593724	2145.416212	2219.017478	1936.996509	2061.534647	2035.410014	2117.158964	1895.410243	2077.876486	1940.305597	1904.150879	1796.606964	1882.06392	1966.856746	1871.560035	1929.296741	2182.958809	1981.755024	2051.095048	2167.144783	2012.16215	1963.822194	2119.584907	1990.149577	2075.596987	1996.297863	1758.854699	1735.384632	1897.755299	1862.796136	2251.456591	2424.020191	2181.912645	2106.645305	1968.679947	2200.138295	1912.707	2089.926522	2053.21933	2350.633381	2263.571418	2083.982936	1844.140551	1834.863353	1975.308969	2018.328434	2068.853419	2185.198292	2032.899163	2114.556116	2183.745851	2187.538116	2317.964127	2262.530978	1962.334951	2238.70563	2418.867392	2343.065673	2014.478153	2234.045426	2018.4723	1752.251172	1955.703064	1760.454417	1849.258187	1781.389542	1936.402137	1289.122285	2562.743818	1872.843479	757.779114	2572.424319	800.741543	1916.648913	1669.01119	1377.590045	2256.075343	2356.528457	2137.498964	2329.537118	2026.712418	1889.054513	1706.531284	2083.558279	1865.025755	1978.305081	2344.846611	2367.123567	2793.43894	2306.890078	1908.170164	2077.245798	1796.121731	1718.376212	2251.111785	1922.005018	1801.153622	1728.868461	2496.54658	2600.831815	2107.833754	1951.116953	2035.358151	1814.233901	2074.807529	2176.968557	2012.956704	2000.789725	2064.585605	2158.773541	2181.725873	2206.575463	2177.109568	2271.883233	1766.877594	1757.519834	1695.788771	1727.460065	1993.97035	1750.921661	1777.986272	1832.634811	1875.148138	1919.590099	1860.647318	1872.389292	1715.901618	1705.734388	1705.250068	1881.107427	1792.734213	1976.315562	1782.877498	1740.10168	1800.311759	1935.942686	1850.272178	2064.85782	1956.157775	1901.860976	1723.343831	1854.773042	1884.538591	2361.046359
2.2 Translation	25368.17377	27516.01889	27250.93831	24208.34333	25532.49781	27056.6732	27142.90283	24626.00829	26565.15212	26174.24683	24040.07876	21761.59603	23234.10982	25398.54784	25401.06004	22574.18934	21611.76875	23634.27145	23904.92068	23431.81245	23045.45294	25579.28505	20746.26523	19627.70635	23364.4891	22758.07874	23607.40693	26843.30813	27534.94767	28228.79692	26705.82081	27224.32371	27522.54409	22117.33926	22471.86994	20713.81199	20874.2253	24309.35744	24978.93487	22369.04899	22806.76035	22039.88682	22459.84432	24242.50367	20839.68296	25253.13643	22744.72752	24992.93578	24615.37194	26184.73883	26154.48959	25854.04783	25668.1982	25745.86231	24916.93704	26488.46905	24683.39687	24910.22462	26049.47105	25573.13191	24796.0789	26043.1771	24825.40617	26262.46589	23353.87121	24769.76405	25050.73954	24948.53428	23782.13041	25800.06334	24370.47737	23435.37998	23089.32257	23752.54787	24897.05846	23962.98198	23730.14426	26595.02375	23468.75731	26951.22207	28188.66202	26231.24283	26414.29677	27225.67762	26718.02238	24737.03693	24337.35389	20459.00123	24472.973	23991.13995	22770.69038	26981.44919	28402.71927	26223.99046	24688.00975	24087.81351	24779.91443	24430.61475	24675.06501	25122.62606	27380.78602	26874.05017	24407.32916	22702.04652	22936.04795	23255.04626	24534.84464	24156.59301	24964.09992	26195.0673	24650.32753	25017.19496	24898.53586	26362.80213	25702.82072	23695.69284	27376.16154	28152.85517	25817.45697	23731.2109	25301.92393	27723.27879	24781.36376	26984.10116	25075.25538	25649.27675	25454.37807	22679.79349	16077.68544	35538.89292	21586.07331	12447.12515	31443.5666	13610.86326	22645.73788	19774.72534	17215.29966	29162.50096	30575.46397	23216.47198	25522.33543	23622.20493	23462.85413	20706.58727	24399.85214	23011.97915	22658.21611	25712.97235	25858.7346	30182.30139	25430.29232	25241.08881	26489.25729	23886.04684	24214.93113	26069.93806	24688.03367	24121.4179	24113.56198	27680.57142	27687.92533	26075.3854	25868.6414	25662.41617	25574.54898	25285.61773	27843.47557	24726.49567	23881.62566	24982.52962	24932.47963	24236.05634	26494.74739	24469.449	27949.49651	25470.25085	24744.60685	24309.46984	25344.69003	26942.53709	25345.16552	25307.30974	26213.70655	25132.29651	27216.33939	26372.92473	26494.71507	24712.14507	24700.02352	24476.93773	22638.05336	25462.89229	23009.82434	24272.96283	22036.69758	24845.95651	22404.50723	26331.11828	23604.19497	25440.50168	22540.49761	23810.61773	22997.21525	25861.26048	26540.43523
2.3 Folding, sorting and degradation	9943.510038	10460.25231	10410.73619	9923.481148	9810.076979	10344.05277	10375.21262	9991.56843	10545.15784	10327.3491	9804.088168	9140.730197	9553.732701	10276.03894	10441.50163	9556.709074	9253.148449	9835.46701	9908.244333	9966.109923	9858.386606	10407.0065	8759.387901	8515.237852	9460.298424	9851.308826	10095.74026	10129.52781	10644.75472	10471.25653	10506.53644	10459.94557	10484.47234	9549.325842	9522.956305	9125.5441	9128.898212	9789.472597	9890.189645	9501.917621	9633.131838	9478.419957	9422.490073	9852.110437	9086.394229	9722.334091	9623.268134	10191.99794	10142.64943	10570.5396	10501.63933	10496.12741	10368.26024	10521.26151	10235.32049	10658.22579	10181.31074	10236.49349	10461.94705	10356.83636	10301.76356	10150.14186	10036.62065	10333.96153	9622.827246	9887.731809	9836.098336	10247.28953	9780.726288	10592.1758	10056.13829	9813.630208	9562.786517	9751.01279	10029.08539	9788.358973	9642.857795	10465.14675	9720.270958	10649.90768	10667.88807	10410.51733	10337.04312	10620.45996	10436.49042	10601.60415	10400.52188	9334.825063	10376.12305	10210.31174	9472.139237	9684.597481	9983.789771	9970.944034	10046.4431	9686.707581	9520.749859	9914.994546	9858.459441	9718.166113	10169.65952	10317.18267	9793.217457	9479.584785	9546.159377	10256.38936	9727.94828	9583.286097	9642.560905	9962.500129	9816.742873	9791.541653	9953.05562	10030.49392	9919.524227	9916.304351	10136.37023	10252.28384	9757.598555	9478.102275	9994.356846	10941.02043	10352.77545	10976.12155	10665.8073	10633.08855	10654.14395	9419.047838	6112.251593	14285.21735	9294.697558	4534.4986	12959.03562	5068.068849	10375.44292	8884.150365	7760.965188	11423.21589	12391.40694	9273.71083	10912.31102	9985.459319	9783.433075	9208.713569	10378.53328	9808.492667	9801.377112	10112.55505	10603.21182	11356.17986	9942.999512	10635.88438	10994.84344	10108.9986	9986.65578	10865.16257	10281.80652	10093.26649	9998.485293	11211.74637	11150.01424	11155.75228	10651.60203	10936.47622	10547.66996	10146.90805	10712.08593	10022.07262	10312.59448	10632.22899	10076.90805	9840.421257	10252.06909	10318.34073	10373.02415	10764.01754	10458.62591	10323.05503	10441.48919	10799.39338	10754.3516	10534.48684	10765.68366	10605.65026	10743.30296	10776.286	10846.58961	10519.34588	10594.21389	10504.49673	9822.366978	10512.48411	10043.24358	10232.4043	9530.429319	10279.26191	10056.79257	11341.46246	10382.00562	10694.52313	10061.50764	10267.45592	9919.169718	10892.33438	10780.68009
2.4 Replication and repair	15354.77198	15932.32795	15774.19544	14861.94336	15251.6064	15387.75022	15863.87901	15424.47985	15877.98374	15832.7903	15122.20024	13810.30536	14510.77791	15187.76373	15659.42285	14709.23437	14398.14205	14619.0464	14786.14071	14797.6777	14738.83734	15525.7989	13777.76715	13188.09102	14672.84104	14813.69771	15199.10933	15196.52242	15974.66901	15229.86738	15419.3842	15669.78078	15433.85651	15026.52664	15726.54312	14214.66246	14668.23951	15773.85812	17059.68347	14857.46751	15547.40569	14997.40543	15754.73975	15757.75591	14601.99435	16786.30492	15503.05762	15560.43837	16682.28584	16074.66352	17422.05666	16119.40075	17080.22506	16209.66283	16800.08984	16234.5566	16801.88869	15416.33127	17379.84088	17161.42028	16775.43676	15141.16535	14457.47807	15324.69111	14197.68269	14994.90813	15095.48275	15073.21678	14440.12187	15952.30505	14819.17358	14599.77476	14489.25587	14800.67779	14897.33565	14414.41348	14520.26516	15409.05126	14617.00201	15718.7406	16108.34073	15734.6228	16116.00771	15617.06185	15892.88561	14787.90756	14633.07969	14171.37901	12607.29348	14670.93268	14610.45687	14406.46785	14321.45356	14907.8395	14313.77561	14537.31208	14437.84016	14895.22799	14720.73965	14759.70288	15056.66539	15582.36411	14692.48011	14401.37365	13996.52076	14898.06876	14619.33598	14455.95816	14261.45376	15087.68877	14579.19588	14644.63232	14988.1982	15510.64047	14656.40741	14718.10011	15422.77898	15045.07165	14586.58911	13898.9692	15146.39767	16165.8258	15355.21721	16212.86258	16038.49438	15987.05376	16220.76177	15023.77488	8014.322463	17401.75292	14802.26442	6362.289468	16151.3026	5880.580513	14283.80318	13665.87543	11752.85233	15974.07705	15601.11884	13665.11732	15568.0622	15181.93675	15106.4549	14125.6793	15346.57926	14841.99494	15261.63231	14465.11763	14697.08805	16966.7823	14690.53991	15590.53225	15799.31244	15120.76299	15640.11339	15928.79132	15647.02011	15246.43211	15755.13068	16006.07101	16199.21956	16155.54889	15979.64205	16288.58478	16062.75666	15457.65428	17090.63379	15406.50437	14856.23912	15366.37361	15330.07453	14650.81199	15787.87352	15352.02542	16268.42561	16635.92602	15700.04226	15730.96708	15908.14253	15707.69506	16023.9335	15758.52138	16264.02087	15762.13409	15865.37677	16266.91174	16281.01953	16103.09752	15806.86587	15900.99161	14852.44877	16252.41504	15141.53488	15363.55985	14901.07326	15459.69052	15031.10653	16072.01279	14838.72786	15401.12892	14881.39083	15006.39356	14835.44741	15682.73082	14293.65659
3.1 Membrane transport	14961.27309	15343.8084	14616.96142	14807.32583	14911.91614	16269.74464	15793.88899	15121.3683	18030.91681	17409.49588	14598.40926	14616.34279	14592.07083	17988.84358	17606.86136	13598.39545	13429.15496	15093.55888	16894.62585	17999.44426	19408.35786	18035.16301	13170.84534	12553.61837	12810.84659	16930.73384	17651.60158	15583.89133	17984.78624	16240.88454	17435.53983	17308.39434	17236.88855	18397.08275	18197.83543	18767.38941	18823.02355	19333.7747	18580.62625	17575.16534	17541.67395	18358.94159	18255.87655	19187.75399	18816.5007	18716.50892	17575.87013	18747.36261	18723.91705	19103.32902	19134.27077	18854.1179	18747.24318	18797.56378	18576.65821	19068.18959	18710.93213	18496.97714	19080.09311	18750.05086	18506.06711	17433.40521	16525.54525	17025.46451	17692.12625	19269.0695	17761.26873	19039.27679	17837.1621	19286.4671	18622.82696	18398.97114	18891.70698	18177.84435	19571.98065	17937.54007	17906.88624	17969.40307	18558.91981	18548.66416	15458.77344	17820.09752	18080.82181	15874.5982	17398.42614	15273.39673	16179.71841	14539.513	33164.26028	18563.61056	12386.06473	13812.50439	13809.52266	15060.94405	14680.92906	14540.92915	14066.90398	13780.46421	14742.15614	14902.49465	14416.89057	15107.23548	14811.76183	15181.23514	15698.39584	16317.35397	15287.43267	13707.51503	14553.06626	14694.03357	14513.58194	14290.89371	15249.42838	13595.05035	14189.51718	14475.34442	14243.60215	13415.89627	13820.60886	13536.26616	14605.94056	17403.34761	16549.39249	16390.41641	17456.09677	18292.86795	18625.32588	14027.55627	9587.848223	22453.78481	12184.65645	6839.703586	21792.2615	7687.093932	14724.90326	12218.26559	11180.68311	14774.83752	19860.24138	11566.71063	17496.53816	13799.77437	13476.66301	11956.12155	15741.79275	13879.88476	13590.31123	13171.77547	14227.95649	12479.59566	11979.85059	15828.80178	15041.27035	17631.01477	15126.72926	17647.50667	15493.23111	16675.98954	14867.94876	19919.75229	21080.34808	18317.07542	15572.71973	18145.72302	15531.18861	13948.82908	13560.17782	13702.05519	14765.10949	15390.20309	13689.00295	13909.44679	12774.3582	14797.87803	13280.29917	17668.94091	16994.46075	17459.57361	16697.25582	16429.5221	16847.11499	17572.47874	17062.72432	18361.89009	16836.69664	15994.16328	16970.68884	17572.54671	17139.74899	17492.77267	13227.29407	16466.29582	13992.98139	15658.46795	14874.19767	16067.73822	14074.51417	20651.64086	15816.90938	16881.09085	14695.00761	15740.31908	14832.21988	18819.68844	17356.61985
3.2 Signal transduction	11794.89643	11328.06397	11141.79297	12080.58242	11194.0229	11800.08269	11656.99863	13528.83982	12812.54091	12893.6798	12493.49628	12163.96324	12462.0609	11143.19128	11355.9318	11413.78232	11026.42582	13645.50279	10985.36287	11558.18622	11523.45152	11373.82726	10647.16449	10186.95104	10485.26246	11192.38269	11783.90844	12259.05915	12572.23966	12388.73798	12673.5749	12451.26883	13261.28299	14612.46062	14465.822	14832.70037	14851.91891	14966.52358	14631.52792	15213.55042	15244.13806	14521.59243	14342.64706	14895.77522	14811.88054	14508.37412	15162.50079	13583.59897	13674.96084	13449.65526	13683.62892	13923.23247	13942.0931	14020.46711	14177.20846	13522.47503	13652.9467	14094.74955	13647.70665	13946.26285	14184.43369	12715.03603	12896.40848	12844.88691	13391.38637	12812.83115	12796.73657	11672.15063	11613.99544	12046.62075	11377.18924	10498.61758	11189.8709	11900.79386	11650.37376	11070.81529	11214.20844	11600.52631	10868.91511	13106.0456	11988.24163	12731.31925	13127.60956	12074.74972	12859.71916	13300.77081	16542.49182	12992.86377	22997.30309	12627.27572	11363.85558	10335.13283	10957.01579	10785.83511	12552.22373	11909.31211	11231.23689	13407.67147	10775.33651	11124.75141	10491.95422	11476.51805	11604.7975	13034.42668	12420.12234	15195.03815	11100.00106	11220.54168	10845.36135	11294.40058	10963.24903	12014.34928	11620.76806	10557.97633	10800.38163	12164.27161	11130.32444	10706.87374	10630.27722	11497.48755	11344.94888	13517.68071	12973.66428	12389.0347	13156.34752	12764.53966	12503.0209	11555.20388	7428.434472	10391.41021	10894.47146	6158.750525	11388.23303	4819.061543	13340.68754	11724.28253	10323.52701	10555.84897	12280.98251	11612.27522	14981.22551	11593.7102	10510.2165	10350.22006	12445.99739	10884.85785	11404.17297	12800.02561	13529.75889	11433.49661	11352.62299	13729.78564	13424.91859	11309.59891	11133.32715	13321.17537	11434.22237	11496.86485	11734.83669	18079.7582	18739.54076	12916.56194	12961.90465	12142.52176	12146.19323	11262.56325	10949.28518	11201.15271	11597.36957	11516.56589	11489.02715	13195.99972	10686.65667	12664.96626	10215.0551	12477.57776	12614.68275	12542.50164	11770.33021	12958.76734	12203.29326	12178.25726	12066.27443	13298.21462	11901.39109	12222.84136	11754.88685	12137.55513	11917.72345	12160.16255	11500.68179	11590.6364	12409.01848	12233.04808	11580.06946	12129.18433	11704.60043	11779.56334	12583.7913	12854.57441	11736.62782	11578.77952	12282.45742	12605.3636	11848.21399
3.3 Signaling molecules and interaction	98.932184	82.728042	101.143329	92.517763	82.788658	65.131655	78.527592	80.067368	78.916203	76.868933	61.45422	77.505428	61.477333	64.726889	74.265213	82.042658	68.895891	57.891454	103.208618	84.559905	132.846378	60.369394	61.359327	80.30812	57.07503	114.461184	115.568789	94.136341	106.209087	101.012425	102.376695	109.41821	90.671411	89.293859	145.823313	100.414694	142.111124	128.973722	186.308984	122.557356	140.031357	94.611828	123.179754	140.944882	130.865126	184.17023	147.699227	133.248029	197.621822	136.048779	191.574642	128.668842	197.278137	133.015636	194.21626	131.203012	194.213875	127.904801	193.343039	200.790148	193.495433	75.432589	78.892216	72.864957	91.539274	116.487868	123.86123	61.55322	63.172847	73.455652	87.64733	111.678969	86.261557	99.314481	75.100327	64.653075	69.429266	54.291458	134.821994	94.517498	77.413919	97.393863	87.047606	98.85399	88.565292	120.919149	59.89629	70.658358	56.335752	109.207531	40.239438	61.235847	44.39333	80.143457	88.074696	75.261102	70.707409	42.834027	83.127199	74.39158	64.634708	49.766905	60.014071	73.245152	85.78517	76.26345	69.341399	53.214397	63.022916	61.278697	58.847441	62.715407	76.608652	79.252552	56.339012	71.901063	65.401186	61.127539	67.835117	67.596239	69.716455	57.793554	73.908254	73.927492	84.783566	74.220997	73.960768	76.258128	42.281283	1.565127	57.092204	0	20.856094	0	46.523318	42.289769	27.932042	63.165877	16.114295	55.417919	68.963597	87.205476	81.930985	115.487034	75.284222	93.376463	89.639636	52.773137	58.746214	61.564721	40.483454	90.359448	85.133946	79.949112	80.657518	80.2375	87.888775	96.189171	70.775314	56.014744	39.24785	107.946763	103.987638	95.738301	75.146508	66.143987	76.019081	70.364246	73.126127	85.451021	65.511091	67.468886	72.324712	70.936173	52.825175	95.843556	97.047348	113.519971	102.069811	47.634537	99.169772	86.9092	63.99437	72.184346	61.168699	80.491985	70.809768	99.56867	109.653639	121.205291	85.129415	78.149045	77.908922	98.644451	91.197675	76.571011	77.642378	77.166197	65.601309	61.929856	87.439565	101.071945	91.472716	102.848707	25.709813
