sample1	sample2	genes Abundance	Group	sample1	sample2	genus Abundance	Group	sample1	sample2	Kos Abundance	Group
HNCeC7	HNCeC15	0.529643024	WOW	HNCeC7	HNCeC15	0.095211294	WOW	HNCeC7	HNCeC15	0.034165333	WOW
HNCeC8	HNCeC15	0.549238008	WOW	HNCeC8	HNCeC15	0.154151929	WOW	HNCeC8	HNCeC15	0.044094465	WOW
SXCeC1	HNCeC15	0.817195921	WOW	SXCeC1	HNCeC15	0.288698078	WOW	SXCeC1	HNCeC15	0.101419544	WOW
SXCeC2	HNCeC15	0.826452477	WOW	SXCeC2	HNCeC15	0.354881365	WOW	SXCeC2	HNCeC15	0.121687197	WOW
SXCeC3	HNCeC15	0.830037043	WOW	SXCeC3	HNCeC15	0.299248871	WOW	SXCeC3	HNCeC15	0.106676314	WOW
SXCeC4	HNCeC15	0.815425831	WOW	SXCeC4	HNCeC15	0.254985073	WOW	SXCeC4	HNCeC15	0.095875921	WOW
SXCeC5	HNCeC15	0.814039622	WOW	SXCeC5	HNCeC15	0.284592452	WOW	SXCeC5	HNCeC15	0.109925159	WOW
SXCeC6	HNCeC15	0.798931232	WOW	SXCeC6	HNCeC15	0.269217304	WOW	SXCeC6	HNCeC15	0.098331539	WOW
JSCeC1	HNCeC15	0.857132233	WOW	JSCeC1	HNCeC15	0.292050173	WOW	JSCeC1	HNCeC15	0.105880983	WOW
JSCeC2	HNCeC15	0.858410837	WOW	JSCeC2	HNCeC15	0.391931917	WOW	JSCeC2	HNCeC15	0.136413784	WOW
JSCeC3	HNCeC15	0.815830743	WOW	JSCeC3	HNCeC15	0.326790785	WOW	JSCeC3	HNCeC15	0.122528998	WOW
JSCeC4	HNCeC15	0.792969525	WOW	JSCeC4	HNCeC15	0.263323148	WOW	JSCeC4	HNCeC15	0.105060681	WOW
JSCeC5	HNCeC15	0.847019025	WOW	JSCeC5	HNCeC15	0.354811655	WOW	JSCeC5	HNCeC15	0.125047186	WOW
JSCeC6	HNCeC15	0.823743523	WOW	JSCeC6	HNCeC15	0.346911198	WOW	JSCeC6	HNCeC15	0.123269993	WOW
ANCeC1	HNCeC15	0.759447649	WOW	ANCeC1	HNCeC15	0.191455843	WOW	ANCeC1	HNCeC15	0.098719958	WOW
ANCeC2	HNCeC15	0.777547311	WOW	ANCeC2	HNCeC15	0.234003914	WOW	ANCeC2	HNCeC15	0.09795708	WOW
ANCeC3	HNCeC15	0.78516099	WOW	ANCeC3	HNCeC15	0.238277646	WOW	ANCeC3	HNCeC15	0.111887444	WOW
ANCeC4	HNCeC15	0.781346443	WOW	ANCeC4	HNCeC15	0.247167341	WOW	ANCeC4	HNCeC15	0.107291583	WOW
ANCeC5	HNCeC15	0.790056896	WOW	ANCeC5	HNCeC15	0.208915615	WOW	ANCeC5	HNCeC15	0.099826861	WOW
ANCeC6	HNCeC15	0.782756691	WOW	ANCeC6	HNCeC15	0.264375155	WOW	ANCeC6	HNCeC15	0.11013633	WOW
ANCeC7	HNCeC15	0.78239434	WOW	ANCeC7	HNCeC15	0.257065138	WOW	ANCeC7	HNCeC15	0.101742178	WOW
SDCeC1	HNCeC15	0.843549482	WOW	SDCeC1	HNCeC15	0.292814617	WOW	SDCeC1	HNCeC15	0.094364051	WOW
SDCeC2	HNCeC15	0.840507828	WOW	SDCeC2	HNCeC15	0.268739602	WOW	SDCeC2	HNCeC15	0.087242423	WOW
SDCeC3	HNCeC15	0.83560343	WOW	SDCeC3	HNCeC15	0.279185237	WOW	SDCeC3	HNCeC15	0.091331388	WOW
SDCeC4	HNCeC15	0.849327242	WOW	SDCeC4	HNCeC15	0.235323301	WOW	SDCeC4	HNCeC15	0.089233919	WOW
SDCeC5	HNCeC15	0.810318718	WOW	SDCeC5	HNCeC15	0.215302159	WOW	SDCeC5	HNCeC15	0.074937267	WOW
SDCeC6	HNCeC15	0.839006767	WOW	SDCeC6	HNCeC15	0.24759809	WOW	SDCeC6	HNCeC15	0.071523773	WOW
PD70dCeC1	HNCeC15	0.863748676	WOW	PD70dCeC1	HNCeC15	0.377738156	WOW	PD70dCeC1	HNCeC15	0.096826377	WOW
PD70dCeC2	HNCeC15	0.866144351	WOW	PD70dCeC2	HNCeC15	0.407567744	WOW	PD70dCeC2	HNCeC15	0.105468722	WOW
PD70dCeC3	HNCeC15	0.867121542	WOW	PD70dCeC3	HNCeC15	0.392314412	WOW	PD70dCeC3	HNCeC15	0.108470354	WOW
PD70dCeC4	HNCeC15	0.868170059	WOW	PD70dCeC4	HNCeC15	0.395362984	WOW	PD70dCeC4	HNCeC15	0.110889092	WOW
PD70dCeC5	HNCeC15	0.868009189	WOW	PD70dCeC5	HNCeC15	0.409730533	WOW	PD70dCeC5	HNCeC15	0.106825026	WOW
PD70dCeC6	HNCeC15	0.864463339	WOW	PD70dCeC6	HNCeC15	0.369400086	WOW	PD70dCeC6	HNCeC15	0.099277562	WOW
HBCeC1	HNCeC15	0.9301332	WOW	HBCeC1	HNCeC15	0.35569877	WOW	HBCeC1	HNCeC15	0.127286222	WOW
HBCeC2	HNCeC15	0.893445365	WOW	HBCeC2	HNCeC15	0.338955466	WOW	HBCeC2	HNCeC15	0.106947021	WOW
HBCeC3	HNCeC15	0.896776405	WOW	HBCeC3	HNCeC15	0.337434571	WOW	HBCeC3	HNCeC15	0.104646958	WOW
HBCeC4	HNCeC15	0.932726551	WOW	HBCeC4	HNCeC15	0.281306824	WOW	HBCeC4	HNCeC15	0.104254612	WOW
HBCeC5	HNCeC15	0.916914615	WOW	HBCeC5	HNCeC15	0.265977353	WOW	HBCeC5	HNCeC15	0.096022108	WOW
HBCeC6	HNCeC15	0.918926036	WOW	HBCeC6	HNCeC15	0.262192635	WOW	HBCeC6	HNCeC15	0.097486084	WOW
PD70d_CeC1	HNCeC15	0.871064806	WOW	PD70d_CeC1	HNCeC15	0.389675773	WOW	PD70d_CeC1	HNCeC15	0.108836184	WOW
PD70d_CeC2	HNCeC15	0.869978444	WOW	PD70d_CeC2	HNCeC15	0.411521496	WOW	PD70d_CeC2	HNCeC15	0.114996171	WOW
PD70d_CeC3	HNCeC15	0.868691009	WOW	PD70d_CeC3	HNCeC15	0.394753785	WOW	PD70d_CeC3	HNCeC15	0.115280031	WOW
PD70d_CeC4	HNCeC15	0.873592569	WOW	PD70d_CeC4	HNCeC15	0.383692321	WOW	PD70d_CeC4	HNCeC15	0.111952536	WOW
PD70d_CeC5	HNCeC15	0.869716349	WOW	PD70d_CeC5	HNCeC15	0.389378027	WOW	PD70d_CeC5	HNCeC15	0.10846421	WOW
PD70d_CeC6	HNCeC15	0.867203647	WOW	PD70d_CeC6	HNCeC15	0.411937791	WOW	PD70d_CeC6	HNCeC15	0.114790368	WOW
PD70d_CeC7	HNCeC15	0.870358816	WOW	PD70d_CeC7	HNCeC15	0.394711548	WOW	PD70d_CeC7	HNCeC15	0.115540546	WOW
PD70d_CeC8	HNCeC15	0.872571054	WOW	PD70d_CeC8	HNCeC15	0.385332945	WOW	PD70d_CeC8	HNCeC15	0.112240098	WOW
SHCeC1	HNCeC15	0.762466817	WOW	SHCeC1	HNCeC15	0.248126321	WOW	SHCeC1	HNCeC15	0.074761314	WOW
SHCeC12	HNCeC15	0.756082429	WOW	SHCeC12	HNCeC15	0.198225608	WOW	SHCeC12	HNCeC15	0.066290771	WOW
SHCeC15	HNCeC15	0.756533801	WOW	SHCeC15	HNCeC15	0.24845029	WOW	SHCeC15	HNCeC15	0.098694339	WOW
SHCeC16	HNCeC15	0.69860918	WOW	SHCeC16	HNCeC15	0.184861719	WOW	SHCeC16	HNCeC15	0.060825679	WOW
SHCeC17	HNCeC15	0.740672945	WOW	SHCeC17	HNCeC15	0.187606939	WOW	SHCeC17	HNCeC15	0.064337247	WOW
SHCeC18	HNCeC15	0.775241116	WOW	SHCeC18	HNCeC15	0.273357144	WOW	SHCeC18	HNCeC15	0.09561873	WOW
SHCeC24	HNCeC15	0.738752461	WOW	SHCeC24	HNCeC15	0.242276056	WOW	SHCeC24	HNCeC15	0.080115179	WOW
SHCeC26	HNCeC15	0.744381961	WOW	SHCeC26	HNCeC15	0.233921007	WOW	SHCeC26	HNCeC15	0.07808058	WOW
SHCeC27	HNCeC15	0.734135379	WOW	SHCeC27	HNCeC15	0.193362357	WOW	SHCeC27	HNCeC15	0.062055629	WOW
SHCeC28	HNCeC15	0.746430159	WOW	SHCeC28	HNCeC15	0.220835992	WOW	SHCeC28	HNCeC15	0.069003006	WOW
SHCeC4	HNCeC15	0.767462709	WOW	SHCeC4	HNCeC15	0.222383168	WOW	SHCeC4	HNCeC15	0.071785029	WOW
SHCeC7	HNCeC15	0.786599504	WOW	SHCeC7	HNCeC15	0.223026707	WOW	SHCeC7	HNCeC15	0.07292127	WOW
MD70dCeC1	HNCeC15	0.907664297	WOW	MD70dCeC1	HNCeC15	0.271897927	WOW	MD70dCeC1	HNCeC15	0.101543441	WOW
MD70dCeC2	HNCeC15	0.931516329	WOW	MD70dCeC2	HNCeC15	0.308007569	WOW	MD70dCeC2	HNCeC15	0.114070686	WOW
MD70dCeC3	HNCeC15	0.945239778	WOW	MD70dCeC3	HNCeC15	0.422467797	WOW	MD70dCeC3	HNCeC15	0.12232223	WOW
MD70dCeC4	HNCeC15	0.909451069	WOW	MD70dCeC4	HNCeC15	0.316527301	WOW	MD70dCeC4	HNCeC15	0.113433774	WOW
MD70dCeC5	HNCeC15	0.9067513	WOW	MD70dCeC5	HNCeC15	0.270078961	WOW	MD70dCeC5	HNCeC15	0.100757772	WOW
MD70dCeC6	HNCeC15	0.946852013	WOW	MD70dCeC6	HNCeC15	0.423162512	WOW	MD70dCeC6	HNCeC15	0.124045373	WOW
MD70d_CeC1	HNCeC15	0.909995695	WOW	MD70d_CeC1	HNCeC15	0.287432669	WOW	MD70d_CeC1	HNCeC15	0.104254556	WOW
MD70d_CeC2	HNCeC15	0.931894643	WOW	MD70d_CeC2	HNCeC15	0.315031428	WOW	MD70d_CeC2	HNCeC15	0.1205358	WOW
MD70d_CeC3	HNCeC15	0.948992508	WOW	MD70d_CeC3	HNCeC15	0.421500996	WOW	MD70d_CeC3	HNCeC15	0.136081121	WOW
MD70d_CeC4	HNCeC15	0.911260104	WOW	MD70d_CeC4	HNCeC15	0.312814707	WOW	MD70d_CeC4	HNCeC15	0.120012742	WOW
MD70d_CeC5	HNCeC15	0.906574268	WOW	MD70d_CeC5	HNCeC15	0.285472385	WOW	MD70d_CeC5	HNCeC15	0.103747993	WOW
MD70d_CeC6	HNCeC15	0.933714254	WOW	MD70d_CeC6	HNCeC15	0.313143214	WOW	MD70d_CeC6	HNCeC15	0.120332215	WOW
MD70d_CeC7	HNCeC15	0.947900299	WOW	MD70d_CeC7	HNCeC15	0.418920868	WOW	MD70d_CeC7	HNCeC15	0.135781766	WOW
MD70d_CeC8	HNCeC15	0.911461997	WOW	MD70d_CeC8	HNCeC15	0.312956018	WOW	MD70d_CeC8	HNCeC15	0.120040542	WOW
WNCeC1L	HNCeC16	0.840312959	WOW	WNCeC1L	HNCeC16	0.450829427	WOW	WNCeC1L	HNCeC16	0.177794195	WOW
WNCeC2L	HNCeC16	0.887801558	WOW	WNCeC2L	HNCeC16	0.437141692	WOW	WNCeC2L	HNCeC16	0.1520104	WOW
WNFCeC1L	HNCeC16	0.870580311	WOW	WNFCeC1L	HNCeC16	0.429363261	WOW	WNFCeC1L	HNCeC16	0.160269221	WOW
WNFCeC2L	HNCeC16	0.965879031	WOW	WNFCeC2L	HNCeC16	0.714464458	WOW	WNFCeC2L	HNCeC16	0.33553142	WOW
WNFCeC3L	HNCeC16	0.890585326	WOW	WNFCeC3L	HNCeC16	0.4767258	WOW	WNFCeC3L	HNCeC16	0.161337021	WOW
WNFCeC4L	HNCeC16	0.778009158	WOW	WNFCeC4L	HNCeC16	0.434083551	WOW	WNFCeC4L	HNCeC16	0.168046989	WOW
HNCeC10	HNCeC16	0.558527958	WOW	HNCeC10	HNCeC16	0.119192503	WOW	HNCeC10	HNCeC16	0.05035494	WOW
HNCeC11	HNCeC16	0.516567791	WOW	HNCeC11	HNCeC16	0.118191262	WOW	HNCeC11	HNCeC16	0.046625905	WOW
HNCeC12	HNCeC16	0.65149663	WOW	HNCeC12	HNCeC16	0.301631062	WOW	HNCeC12	HNCeC16	0.125049303	WOW
HNCeC13	HNCeC16	0.64484286	WOW	HNCeC13	HNCeC16	0.319408148	WOW	HNCeC13	HNCeC16	0.128211766	WOW
HNCeC14	HNCeC16	0.675948671	WOW	HNCeC14	HNCeC16	0.305208617	WOW	HNCeC14	HNCeC16	0.118772445	WOW
HNCeC15	HNCeC16	0.549714232	WOW	HNCeC15	HNCeC16	0.137451331	WOW	HNCeC15	HNCeC16	0.041974371	WOW
HNCeC17	HNCeC16	0.608603015	WOW	HNCeC17	HNCeC16	0.158162499	WOW	HNCeC17	HNCeC16	0.047546363	WOW
HNCeC18	HNCeC16	0.491144507	WOW	HNCeC18	HNCeC16	0.108104966	WOW	HNCeC18	HNCeC16	0.041057274	WOW
HNCeC4	HNCeC16	0.730494608	WOW	HNCeC4	HNCeC16	0.388189319	WOW	HNCeC4	HNCeC16	0.158920625	WOW
HNCeC5	HNCeC16	0.713044123	WOW	HNCeC5	HNCeC16	0.387919468	WOW	HNCeC5	HNCeC16	0.16406702	WOW
HNCeC6	HNCeC16	0.616322266	WOW	HNCeC6	HNCeC16	0.334256315	WOW	HNCeC6	HNCeC16	0.130974547	WOW
HNCeC7	HNCeC16	0.610674941	WOW	HNCeC7	HNCeC16	0.119869471	WOW	HNCeC7	HNCeC16	0.04303689	WOW
HNCeC8	HNCeC16	0.645299637	WOW	HNCeC8	HNCeC16	0.208317606	WOW	HNCeC8	HNCeC16	0.061784169	WOW
SXCeC1	HNCeC16	0.837495048	WOW	SXCeC1	HNCeC16	0.317023488	WOW	SXCeC1	HNCeC16	0.106291645	WOW
SXCeC2	HNCeC16	0.844588196	WOW	SXCeC2	HNCeC16	0.388129198	WOW	SXCeC2	HNCeC16	0.128661322	WOW
SXCeC3	HNCeC16	0.848020092	WOW	SXCeC3	HNCeC16	0.329655984	WOW	SXCeC3	HNCeC16	0.108661603	WOW
SXCeC4	HNCeC16	0.837556425	WOW	SXCeC4	HNCeC16	0.29410643	WOW	SXCeC4	HNCeC16	0.099460217	WOW
SXCeC5	HNCeC16	0.828793824	WOW	SXCeC5	HNCeC16	0.319235775	WOW	SXCeC5	HNCeC16	0.115867568	WOW
SXCeC6	HNCeC16	0.823048919	WOW	SXCeC6	HNCeC16	0.306426153	WOW	SXCeC6	HNCeC16	0.103319603	WOW
JSCeC1	HNCeC16	0.87291051	WOW	JSCeC1	HNCeC16	0.316113092	WOW	JSCeC1	HNCeC16	0.108594271	WOW
JSCeC2	HNCeC16	0.866079688	WOW	JSCeC2	HNCeC16	0.419675996	WOW	JSCeC2	HNCeC16	0.138353468	WOW
JSCeC3	HNCeC16	0.840798269	WOW	JSCeC3	HNCeC16	0.357266683	WOW	JSCeC3	HNCeC16	0.125789562	WOW
JSCeC4	HNCeC16	0.807352353	WOW	JSCeC4	HNCeC16	0.286284052	WOW	JSCeC4	HNCeC16	0.106559103	WOW
JSCeC5	HNCeC16	0.86037456	WOW	JSCeC5	HNCeC16	0.381369433	WOW	JSCeC5	HNCeC16	0.127501372	WOW
JSCeC6	HNCeC16	0.82565619	WOW	JSCeC6	HNCeC16	0.37413649	WOW	JSCeC6	HNCeC16	0.125843865	WOW
ANCeC1	HNCeC16	0.791991021	WOW	ANCeC1	HNCeC16	0.241941773	WOW	ANCeC1	HNCeC16	0.106234265	WOW
ANCeC2	HNCeC16	0.792228111	WOW	ANCeC2	HNCeC16	0.262441156	WOW	ANCeC2	HNCeC16	0.104095363	WOW
ANCeC3	HNCeC16	0.803317486	WOW	ANCeC3	HNCeC16	0.285425147	WOW	ANCeC3	HNCeC16	0.11860047	WOW
ANCeC4	HNCeC16	0.810437867	WOW	ANCeC4	HNCeC16	0.290963415	WOW	ANCeC4	HNCeC16	0.115538589	WOW
ANCeC5	HNCeC16	0.787175742	WOW	ANCeC5	HNCeC16	0.260252566	WOW	ANCeC5	HNCeC16	0.104435319	WOW
ANCeC6	HNCeC16	0.783342556	WOW	ANCeC6	HNCeC16	0.278597482	WOW	ANCeC6	HNCeC16	0.112613437	WOW
ANCeC7	HNCeC16	0.802076365	WOW	ANCeC7	HNCeC16	0.280963975	WOW	ANCeC7	HNCeC16	0.106374416	WOW
SDCeC1	HNCeC16	0.851584876	WOW	SDCeC1	HNCeC16	0.316722755	WOW	SDCeC1	HNCeC16	0.101257814	WOW
SDCeC2	HNCeC16	0.859827674	WOW	SDCeC2	HNCeC16	0.284351303	WOW	SDCeC2	HNCeC16	0.094679962	WOW
SDCeC3	HNCeC16	0.849209021	WOW	SDCeC3	HNCeC16	0.29735173	WOW	SDCeC3	HNCeC16	0.098334999	WOW
SDCeC4	HNCeC16	0.86376056	WOW	SDCeC4	HNCeC16	0.280737169	WOW	SDCeC4	HNCeC16	0.093975675	WOW
SDCeC5	HNCeC16	0.829652016	WOW	SDCeC5	HNCeC16	0.241636095	WOW	SDCeC5	HNCeC16	0.075437388	WOW
SDCeC6	HNCeC16	0.834241728	WOW	SDCeC6	HNCeC16	0.275543229	WOW	SDCeC6	HNCeC16	0.076823577	WOW
PD70dCeC1	HNCeC16	0.885516425	WOW	PD70dCeC1	HNCeC16	0.390388284	WOW	PD70dCeC1	HNCeC16	0.102857791	WOW
PD70dCeC2	HNCeC16	0.87980818	WOW	PD70dCeC2	HNCeC16	0.41851516	WOW	PD70dCeC2	HNCeC16	0.111064144	WOW
PD70dCeC3	HNCeC16	0.881315479	WOW	PD70dCeC3	HNCeC16	0.405372359	WOW	PD70dCeC3	HNCeC16	0.113424298	WOW
PD70dCeC4	HNCeC16	0.881975805	WOW	PD70dCeC4	HNCeC16	0.409975633	WOW	PD70dCeC4	HNCeC16	0.116009809	WOW
PD70dCeC5	HNCeC16	0.881415041	WOW	PD70dCeC5	HNCeC16	0.42048771	WOW	PD70dCeC5	HNCeC16	0.112303969	WOW
PD70dCeC6	HNCeC16	0.883446303	WOW	PD70dCeC6	HNCeC16	0.396752819	WOW	PD70dCeC6	HNCeC16	0.104782132	WOW
HBCeC1	HNCeC16	0.934665559	WOW	HBCeC1	HNCeC16	0.355355471	WOW	HBCeC1	HNCeC16	0.131169579	WOW
HBCeC2	HNCeC16	0.902249877	WOW	HBCeC2	HNCeC16	0.343056042	WOW	HBCeC2	HNCeC16	0.112359268	WOW
HBCeC3	HNCeC16	0.906508289	WOW	HBCeC3	HNCeC16	0.342663291	WOW	HBCeC3	HNCeC16	0.110069633	WOW
HBCeC4	HNCeC16	0.928898266	WOW	HBCeC4	HNCeC16	0.282428234	WOW	HBCeC4	HNCeC16	0.106289706	WOW
HBCeC5	HNCeC16	0.918582485	WOW	HBCeC5	HNCeC16	0.254095608	WOW	HBCeC5	HNCeC16	0.091514757	WOW
HBCeC6	HNCeC16	0.917450698	WOW	HBCeC6	HNCeC16	0.258911864	WOW	HBCeC6	HNCeC16	0.09667317	WOW
PD70d_CeC1	HNCeC16	0.892205505	WOW	PD70d_CeC1	HNCeC16	0.406158537	WOW	PD70d_CeC1	HNCeC16	0.110419792	WOW
PD70d_CeC2	HNCeC16	0.884735253	WOW	PD70d_CeC2	HNCeC16	0.428524656	WOW	PD70d_CeC2	HNCeC16	0.117519134	WOW
PD70d_CeC3	HNCeC16	0.884234837	WOW	PD70d_CeC3	HNCeC16	0.414570986	WOW	PD70d_CeC3	HNCeC16	0.117521511	WOW
PD70d_CeC4	HNCeC16	0.892475058	WOW	PD70d_CeC4	HNCeC16	0.415485595	WOW	PD70d_CeC4	HNCeC16	0.114565476	WOW
PD70d_CeC5	HNCeC16	0.891026681	WOW	PD70d_CeC5	HNCeC16	0.405956788	WOW	PD70d_CeC5	HNCeC16	0.110222105	WOW
PD70d_CeC6	HNCeC16	0.882160609	WOW	PD70d_CeC6	HNCeC16	0.42935666	WOW	PD70d_CeC6	HNCeC16	0.117439037	WOW
PD70d_CeC7	HNCeC16	0.885757494	WOW	PD70d_CeC7	HNCeC16	0.415126275	WOW	PD70d_CeC7	HNCeC16	0.11748323	WOW
PD70d_CeC8	HNCeC16	0.891525289	WOW	PD70d_CeC8	HNCeC16	0.417071085	WOW	PD70d_CeC8	HNCeC16	0.115225559	WOW
SHCeC1	HNCeC16	0.743433157	WOW	SHCeC1	HNCeC16	0.220423192	WOW	SHCeC1	HNCeC16	0.06850309	WOW
SHCeC12	HNCeC16	0.735657607	WOW	SHCeC12	HNCeC16	0.185202925	WOW	SHCeC12	HNCeC16	0.055679536	WOW
SHCeC15	HNCeC16	0.767891696	WOW	SHCeC15	HNCeC16	0.262111127	WOW	SHCeC15	HNCeC16	0.100592896	WOW
SHCeC16	HNCeC16	0.711502399	WOW	SHCeC16	HNCeC16	0.191241458	WOW	SHCeC16	HNCeC16	0.058611226	WOW
SHCeC17	HNCeC16	0.747447135	WOW	SHCeC17	HNCeC16	0.187613588	WOW	SHCeC17	HNCeC16	0.060869411	WOW
SHCeC18	HNCeC16	0.784994582	WOW	SHCeC18	HNCeC16	0.243927763	WOW	SHCeC18	HNCeC16	0.087253373	WOW
SHCeC24	HNCeC16	0.765697862	WOW	SHCeC24	HNCeC16	0.240572968	WOW	SHCeC24	HNCeC16	0.074774143	WOW
SHCeC26	HNCeC16	0.745521464	WOW	SHCeC26	HNCeC16	0.229610359	WOW	SHCeC26	HNCeC16	0.072557468	WOW
SHCeC27	HNCeC16	0.716476227	WOW	SHCeC27	HNCeC16	0.173774676	WOW	SHCeC27	HNCeC16	0.053623283	WOW
SHCeC28	HNCeC16	0.751534481	WOW	SHCeC28	HNCeC16	0.187670632	WOW	SHCeC28	HNCeC16	0.05822316	WOW
SHCeC4	HNCeC16	0.765290151	WOW	SHCeC4	HNCeC16	0.243906469	WOW	SHCeC4	HNCeC16	0.076031619	WOW
SHCeC7	HNCeC16	0.791679742	WOW	SHCeC7	HNCeC16	0.228489346	WOW	SHCeC7	HNCeC16	0.07139845	WOW
MD70dCeC1	HNCeC16	0.91480503	WOW	MD70dCeC1	HNCeC16	0.284496036	WOW	MD70dCeC1	HNCeC16	0.098827149	WOW
MD70dCeC2	HNCeC16	0.933621014	WOW	MD70dCeC2	HNCeC16	0.327283337	WOW	MD70dCeC2	HNCeC16	0.110195837	WOW
MD70dCeC3	HNCeC16	0.946204069	WOW	MD70dCeC3	HNCeC16	0.436178972	WOW	MD70dCeC3	HNCeC16	0.123056829	WOW
MD70dCeC4	HNCeC16	0.921712943	WOW	MD70dCeC4	HNCeC16	0.342691303	WOW	MD70dCeC4	HNCeC16	0.113775477	WOW
MD70dCeC5	HNCeC16	0.914161181	WOW	MD70dCeC5	HNCeC16	0.285329573	WOW	MD70dCeC5	HNCeC16	0.098287427	WOW
MD70dCeC6	HNCeC16	0.947785579	WOW	MD70dCeC6	HNCeC16	0.436140383	WOW	MD70dCeC6	HNCeC16	0.125209867	WOW
MD70d_CeC1	HNCeC16	0.917435733	WOW	MD70d_CeC1	HNCeC16	0.302465551	WOW	MD70d_CeC1	HNCeC16	0.101002966	WOW
MD70d_CeC2	HNCeC16	0.934837279	WOW	MD70d_CeC2	HNCeC16	0.334356143	WOW	MD70d_CeC2	HNCeC16	0.116974057	WOW
MD70d_CeC3	HNCeC16	0.950440089	WOW	MD70d_CeC3	HNCeC16	0.441912253	WOW	MD70d_CeC3	HNCeC16	0.135391652	WOW
MD70d_CeC4	HNCeC16	0.924799157	WOW	MD70d_CeC4	HNCeC16	0.348366526	WOW	MD70d_CeC4	HNCeC16	0.119182892	WOW
MD70d_CeC5	HNCeC16	0.914700599	WOW	MD70d_CeC5	HNCeC16	0.300755096	WOW	MD70d_CeC5	HNCeC16	0.100323928	WOW
MD70d_CeC6	HNCeC16	0.936473357	WOW	MD70d_CeC6	HNCeC16	0.331539593	WOW	MD70d_CeC6	HNCeC16	0.116124133	WOW
MD70d_CeC7	HNCeC16	0.949736891	WOW	MD70d_CeC7	HNCeC16	0.439341167	WOW	MD70d_CeC7	HNCeC16	0.135401665	WOW
MD70d_CeC8	HNCeC16	0.924878957	WOW	MD70d_CeC8	HNCeC16	0.348703681	WOW	MD70d_CeC8	HNCeC16	0.119516507	WOW
WNCeC1L	HNCeC17	0.799321408	WOW	WNCeC1L	HNCeC17	0.490912716	WOW	WNCeC1L	HNCeC17	0.192230151	WOW
WNCeC2L	HNCeC17	0.884427626	WOW	WNCeC2L	HNCeC17	0.498246932	WOW	WNCeC2L	HNCeC17	0.169774399	WOW
WNFCeC1L	HNCeC17	0.808439295	WOW	WNFCeC1L	HNCeC17	0.458582445	WOW	WNFCeC1L	HNCeC17	0.172033213	WOW
WNFCeC2L	HNCeC17	0.952957617	WOW	WNFCeC2L	HNCeC17	0.687018809	WOW	WNFCeC2L	HNCeC17	0.334433858	WOW
WNFCeC3L	HNCeC17	0.840932594	WOW	WNFCeC3L	HNCeC17	0.48824606	WOW	WNFCeC3L	HNCeC17	0.167474796	WOW
WNFCeC4L	HNCeC17	0.773808331	WOW	WNFCeC4L	HNCeC17	0.481596931	WOW	WNFCeC4L	HNCeC17	0.189555175	WOW
HNCeC10	HNCeC17	0.752169938	WOW	HNCeC10	HNCeC17	0.197180522	WOW	HNCeC10	HNCeC17	0.065971179	WOW
HNCeC11	HNCeC17	0.676815762	WOW	HNCeC11	HNCeC17	0.175874417	WOW	HNCeC11	HNCeC17	0.06180292	WOW
HNCeC12	HNCeC17	0.594350469	WOW	HNCeC12	HNCeC17	0.334852435	WOW	HNCeC12	HNCeC17	0.139285846	WOW
HNCeC13	HNCeC17	0.609106476	WOW	HNCeC13	HNCeC17	0.3626814	WOW	HNCeC13	HNCeC17	0.142832704	WOW
HNCeC14	HNCeC17	0.679497141	WOW	HNCeC14	HNCeC17	0.321265419	WOW	HNCeC14	HNCeC17	0.128687924	WOW
HNCeC15	HNCeC17	0.573967048	WOW	HNCeC15	HNCeC17	0.193676931	WOW	HNCeC15	HNCeC17	0.055535929	WOW
HNCeC16	HNCeC17	0.608603015	WOW	HNCeC16	HNCeC17	0.158162499	WOW	HNCeC16	HNCeC17	0.047546363	WOW
HNCeC18	HNCeC17	0.691756168	WOW	HNCeC18	HNCeC17	0.177746135	WOW	HNCeC18	HNCeC17	0.05720586	WOW
HNCeC4	HNCeC17	0.654776945	WOW	HNCeC4	HNCeC17	0.403036854	WOW	HNCeC4	HNCeC17	0.169287443	WOW
HNCeC5	HNCeC17	0.641046378	WOW	HNCeC5	HNCeC17	0.426170032	WOW	HNCeC5	HNCeC17	0.174835462	WOW
HNCeC6	HNCeC17	0.72899982	WOW	HNCeC6	HNCeC17	0.389365497	WOW	HNCeC6	HNCeC17	0.149510636	WOW
HNCeC7	HNCeC17	0.537795481	WOW	HNCeC7	HNCeC17	0.165176811	WOW	HNCeC7	HNCeC17	0.050893111	WOW
HNCeC8	HNCeC17	0.548002062	WOW	HNCeC8	HNCeC17	0.230244197	WOW	HNCeC8	HNCeC17	0.06791618	WOW
SXCeC1	HNCeC17	0.81918671	WOW	SXCeC1	HNCeC17	0.32761374	WOW	SXCeC1	HNCeC17	0.110816449	WOW
SXCeC2	HNCeC17	0.862104578	WOW	SXCeC2	HNCeC17	0.417007699	WOW	SXCeC2	HNCeC17	0.137085919	WOW
SXCeC3	HNCeC17	0.841811445	WOW	SXCeC3	HNCeC17	0.341546459	WOW	SXCeC3	HNCeC17	0.113644811	WOW
SXCeC4	HNCeC17	0.838532925	WOW	SXCeC4	HNCeC17	0.321411379	WOW	SXCeC4	HNCeC17	0.107566632	WOW
