Sample	Group	Genes Abundance	Sample	Group	genus Abundance	Sample	Group	Kos Abundance
SSCeC-3	WW	19.87789859	SSCeC-3	WW	4.734245119	SSCeC-3	WW	9.825940081
SSCeC-4	WW	19.96063811	SSCeC-4	WW	4.775981099	SSCeC-4	WW	9.82319764
SSCeC-5	WW	20.27579278	SSCeC-5	WW	5.599455347	SSCeC-5	WW	9.869334926
SSCeC-6	WW	19.70411	SSCeC-6	WW	5.433439233	SSCeC-6	WW	9.938901799
SSCeC-7	WW	20.27219562	SSCeC-7	WW	6.207468794	SSCeC-7	WW	9.851629849
SSCeC-8	WW	20.06953304	SSCeC-8	WW	5.073779482	SSCeC-8	WW	9.856968857
SSCeC-9	WW	19.61746528	SSCeC-9	WW	6.288038518	SSCeC-9	WW	9.761072413
SDQCeC1R	WW	20.87812286	SDQCeC1R	WW	5.594959143	SDQCeC1R	WW	9.856291489
SDQCeC4R	WW	20.63025817	SDQCeC4R	WW	5.458187203	SDQCeC4R	WW	9.880700857
SDQCeC5L	WW	18.33432021	SDQCeC5L	WW	4.132635297	SDQCeC5L	WW	9.781558052
SDQCeC7R	WW	18.38748344	SDQCeC7R	WW	4.345965099	SDQCeC7R	WW	9.740129062
SDQCeC8R	WW	19.90481348	SDQCeC8R	WW	4.723133511	SDQCeC8R	WW	9.805324735
SDQCeC9R	WW	20.6656395	SDQCeC9R	WW	5.168017623	SDQCeC9R	WW	9.832413411
SDQCeC10L	WW	19.74443415	SDQCeC10L	WW	4.506782446	SDQCeC10L	WW	9.818357791
SDQCeC11L	WW	18.52298088	SDQCeC11L	WW	5.736171187	SDQCeC11L	WW	9.933137543
FJCeC1	WW	19.72188109	FJCeC1	WW	5.642269056	FJCeC1	WW	9.889485486
FJCeC2	WW	20.08589002	FJCeC2	WW	5.192874975	FJCeC2	WW	9.869022489
FJCeC3	WW	19.98443556	FJCeC3	WW	5.306590507	FJCeC3	WW	9.871977775
FJCeC4	WW	19.91114277	FJCeC4	WW	5.173665378	FJCeC4	WW	9.861874245
FJCeC5	WW	20.02418094	FJCeC5	WW	5.706633214	FJCeC5	WW	9.932314271
FJCeC6	WW	20.06686375	FJCeC6	WW	5.491528012	FJCeC6	WW	9.90743811
SXCeC1	WOW	19.96923193	SXCeC1	WOW	6.211713969	SXCeC1	WOW	9.971812297
SXCeC2	WOW	19.59568808	SXCeC2	WOW	6.190918107	SXCeC2	WOW	9.959613017
SXCeC3	WOW	19.7369136	SXCeC3	WOW	6.238208953	SXCeC3	WOW	9.988021532
SXCeC4	WOW	19.93534786	SXCeC4	WOW	6.044456137	SXCeC4	WOW	9.944725744
SXCeC5	WOW	19.95561763	SXCeC5	WOW	6.140603695	SXCeC5	WOW	9.967322159
SXCeC6	WOW	20.26696157	SXCeC6	WOW	6.171873204	SXCeC6	WOW	9.970336253
JSCeC1	WOW	19.57499273	JSCeC1	WOW	6.153079825	JSCeC1	WOW	9.956566934
JSCeC2	WOW	19.46950548	JSCeC2	WOW	6.311212879	JSCeC2	WOW	9.981402919
JSCeC3	WOW	19.77179578	JSCeC3	WOW	6.237975858	JSCeC3	WOW	9.984781537
JSCeC4	WOW	19.78923364	JSCeC4	WOW	6.158912532	JSCeC4	WOW	9.97370844
JSCeC5	WOW	19.71990971	JSCeC5	WOW	6.327872985	JSCeC5	WOW	9.984109476
JSCeC6	WOW	19.82227626	JSCeC6	WOW	6.26541931	JSCeC6	WOW	10.02760848
HEBCeC-10	WW	18.23271561	HEBCeC-10	WW	5.377047724	HEBCeC-10	WW	10.09084989
HEBCeC-15	WW	18.93208483	HEBCeC-15	WW	4.889611955	HEBCeC-15	WW	9.821756161
HEBCeC-17	WW	19.66378536	HEBCeC-17	WW	4.914415325	HEBCeC-17	WW	9.799141406
HEBCeC-18	WW	20.08762701	HEBCeC-18	WW	5.368148309	HEBCeC-18	WW	9.793781741
HEBCeC-21	WW	18.70872	HEBCeC-21	WW	4.015223669	HEBCeC-21	WW	9.630804673
HEBCeC-22	WW	18.68973833	HEBCeC-22	WW	5.110021697	HEBCeC-22	WW	9.856860377
HEBCeC-25	WW	20.06865956	HEBCeC-25	WW	5.015571895	HEBCeC-25	WW	9.775143321
HEBCeC-30	WW	19.35953154	HEBCeC-30	WW	4.492918546	HEBCeC-30	WW	9.726257537
HEBCeC-4	WW	18.27217757	HEBCeC-4	WW	5.567980666	HEBCeC-4	WW	10.05799633
HEBCeC-5	WW	18.316718	HEBCeC-5	WW	5.287739233	HEBCeC-5	WW	10.04895506
HEBCeC-7	WW	18.98061049	HEBCeC-7	WW	6.036525334	HEBCeC-7	WW	9.814795307
HEBCeC-8	WW	18.17245588	HEBCeC-8	WW	5.388353725	HEBCeC-8	WW	10.05390274
ANCeC1	WOW	20.02926578	ANCeC1	WOW	5.803145851	ANCeC1	WOW	9.929948963
ANCeC2	WOW	20.28958429	ANCeC2	WOW	5.8710679	ANCeC2	WOW	9.890527407
ANCeC3	WOW	19.84898583	ANCeC3	WOW	5.63854233	ANCeC3	WOW	9.879860215
ANCeC4	WOW	19.72510308	ANCeC4	WOW	5.445780429	ANCeC4	WOW	9.918744002
ANCeC5	WOW	19.66896337	ANCeC5	WOW	5.545902665	ANCeC5	WOW	9.837867715
ANCeC6	WOW	20.26018426	ANCeC6	WOW	5.980640802	ANCeC6	WOW	9.948624503
ANCeC7	WOW	20.38139838	ANCeC7	WOW	5.993229827	ANCeC7	WOW	9.910081672
SDCeC1	WOW	19.77560445	SDCeC1	WOW	6.224849594	SDCeC1	WOW	10.00382509
SDCeC2	WOW	19.71054492	SDCeC2	WOW	6.025549294	SDCeC2	WOW	9.959743663
SDCeC3	WOW	19.90947853	SDCeC3	WOW	6.216766846	SDCeC3	WOW	9.987388537
SDCeC4	WOW	19.33916079	SDCeC4	WOW	5.954536972	SDCeC4	WOW	9.935521184
SDCeC5	WOW	19.4416902	SDCeC5	WOW	5.894072984	SDCeC5	WOW	9.867418903
SDCeC6	WOW	19.48692727	SDCeC6	WOW	5.982183043	SDCeC6	WOW	9.856213873
PD70dCeC1	WOW	19.22656424	PD70dCeC1	WOW	5.506758671	PD70dCeC1	WOW	9.778066943
PD70dCeC2	WOW	19.03129892	PD70dCeC2	WOW	5.49602263	PD70dCeC2	WOW	9.776901023
PD70dCeC3	WOW	19.01713958	PD70dCeC3	WOW	5.284513826	PD70dCeC3	WOW	9.785209741
PD70dCeC4	WOW	18.97040542	PD70dCeC4	WOW	5.247096618	PD70dCeC4	WOW	9.78043327
PD70dCeC5	WOW	19.00351528	PD70dCeC5	WOW	5.482310482	PD70dCeC5	WOW	9.778265477
PD70dCeC6	WOW	19.21946532	PD70dCeC6	WOW	5.457737364	PD70dCeC6	WOW	9.801528235
SDQCeC1L	WW	20.88700301	SDQCeC1L	WW	5.604084138	SDQCeC1L	WW	9.774322593
SDQCeC2L	WW	20.25392497	SDQCeC2L	WW	5.205135502	SDQCeC2L	WW	9.814245138
SDQCeC3L	WW	21.08685012	SDQCeC3L	WW	5.588956712	SDQCeC3L	WW	9.753403837
SDQCeC4L	WW	20.84736155	SDQCeC4L	WW	5.537114345	SDQCeC4L	WW	9.78981428
SDQCeC8L	WW	20.2452788	SDQCeC8L	WW	5.473422642	SDQCeC8L	WW	9.819094759
SDQCeC9L	WW	20.52379371	SDQCeC9L	WW	5.463567927	SDQCeC9L	WW	9.781301567
HBCeC1	WOW	18.43039873	HBCeC1	WOW	5.516186188	HBCeC1	WOW	9.897211875
HBCeC2	WOW	19.10021138	HBCeC2	WOW	5.976867177	HBCeC2	WOW	9.983422634
HBCeC3	WOW	19.16156422	HBCeC3	WOW	5.966254734	HBCeC3	WOW	9.977447791
HBCeC4	WOW	18.61405479	HBCeC4	WOW	5.528556577	HBCeC4	WOW	9.873845054
HBCeC5	WOW	18.75047635	HBCeC5	WOW	5.565934592	HBCeC5	WOW	9.904800936
HBCeC6	WOW	18.9306956	HBCeC6	WOW	5.560049911	HBCeC6	WOW	9.896112116
PD70d_CeC1	WOW	19.22568242	PD70d_CeC1	WOW	5.550468158	PD70d_CeC1	WOW	9.816650041
PD70d_CeC2	WOW	19.14669321	PD70d_CeC2	WOW	5.522514546	PD70d_CeC2	WOW	9.817647267
PD70d_CeC3	WOW	19.16001321	PD70d_CeC3	WOW	5.396272961	PD70d_CeC3	WOW	9.822573124
PD70d_CeC4	WOW	19.18345962	PD70d_CeC4	WOW	5.492782344	PD70d_CeC4	WOW	9.835102935
PD70d_CeC5	WOW	19.2493762	PD70d_CeC5	WOW	5.552709482	PD70d_CeC5	WOW	9.816401382
PD70d_CeC6	WOW	19.1836084	PD70d_CeC6	WOW	5.512054634	PD70d_CeC6	WOW	9.815330077
PD70d_CeC7	WOW	19.13043485	PD70d_CeC7	WOW	5.394009708	PD70d_CeC7	WOW	9.823591622
