Samples for analysis the duck microbiome reared differently			
Sample ID	location	Breeds	Rearing systerm
SDCeC5	Shandong	Peking ducks	WOW
SDCeC6	Shandong	Peking ducks	WOW
SDQCeC10L	Zhejiang	Partridge ducks	WW
SDQCeC11L	Zhejiang	Partridge ducks	WW
SDQCeC1L	Zhejiang	Partridge ducks	WW
SDQCeC1R	Zhejiang	Partridge ducks	WW
SDQCeC2L	Zhejiang	Partridge ducks	WW
SDQCeC3L	Zhejiang	Partridge ducks	WW
SDQCeC4L	Zhejiang	Partridge ducks	WW
SDQCeC4R	Zhejiang	Partridge ducks	WW
SDQCeC5L	Zhejiang	Partridge ducks	WW
SDQCeC7R	Zhejiang	Partridge ducks	WW
SDQCeC8L	Zhejiang	Partridge ducks	WW
SDQCeC8R	Zhejiang	Partridge ducks	WW
SDQCeC9L	Zhejiang	Partridge ducks	WW
SDQCeC9R	Zhejiang	Partridge ducks	WW
SHCeC1	Shanghai	Muscovy ducks	WOW
SHCeC12	Shanghai	Muscovy ducks	WOW
SHCeC15	Shanghai	Muscovy ducks	WOW
SHCeC16	Shanghai	Muscovy ducks	WOW
SHCeC17	Shanghai	Muscovy ducks	WOW
SHCeC18	Shanghai	Muscovy ducks	WOW
SHCeC24	Shanghai	Muscovy ducks	WOW
SHCeC26	Shanghai	Muscovy ducks	WOW
SHCeC27	Shanghai	Muscovy ducks	WOW
SHCeC28	Shanghai	Muscovy ducks	WOW
SHCeC4	Shanghai	Muscovy ducks	WOW
SHCeC7	Shanghai	Muscovy ducks	WOW
SSCeC-1	Guizhou	Partridge ducks	WW
SSCeC-10	Guizhou	Partridge ducks	WW
SSCeC-2	Guizhou	Partridge ducks	WW
SSCeC-3	Guizhou	Partridge ducks	WW
SSCeC-4	Guizhou	Partridge ducks	WW
SSCeC-5	Guizhou	Partridge ducks	WW
SSCeC-6	Guizhou	Partridge ducks	WW
SSCeC-7	Guizhou	Partridge ducks	WW
SSCeC-8	Guizhou	Partridge ducks	WW
SSCeC-9	Guizhou	Partridge ducks	WW
SXCeC1	Zhejiang	Partridge ducks	WOW
SXCeC2	Zhejiang	Partridge ducks	WOW
SXCeC3	Zhejiang	Partridge ducks	WOW
SXCeC4	Zhejiang	Partridge ducks	WOW
SXCeC5	Zhejiang	Partridge ducks	WOW
SXCeC6	Zhejiang	Partridge ducks	WOW
WFHCeC11L	Zhejiang	Mallards	WW
WFHCeC12L	Zhejiang	Mallards	WW
WFHCeC13L	Zhejiang	Mallards	WW
WFHCeC14L	Zhejiang	Mallards	WW
WFHCeC16L	Zhejiang	Mallards	WW
WFHCeC1L	Zhejiang	Mallards	WW
WFHCeC21L	Zhejiang	Mallards	WW
WFHCeC22L	Zhejiang	Mallards	WW
WFHCeC23L	Zhejiang	Mallards	WW
WFHCeC24L	Zhejiang	Mallards	WW
WFHCeC25L	Zhejiang	Mallards	WW
WFHCeC2L	Zhejiang	Mallards	WW
WFHCeC3L	Zhejiang	Mallards	WW
WFHCeC4L	Zhejiang	Mallards	WW
WFHCeC6L	Zhejiang	Mallards	WW
WHYCeC1L	Zhejiang	Mallards	WW
WHYCeC1R	Zhejiang	Mallards	WW
WHYCeC2L	Zhejiang	Mallards	WW
WHYCeC2R	Zhejiang	Mallards	WW
WHYCeC3L	Zhejiang	Mallards	WW
WHYCeC3R	Zhejiang	Mallards	WW
WHYCeC4L	Zhejiang	Mallards	WW
WHYCeC4R	Zhejiang	Mallards	WW
WHYCeC5L	Zhejiang	Mallards	WW
WHYCeC5R	Zhejiang	Mallards	WW
WHYCeC6L	Zhejiang	Mallards	WW
WHYCeC6R	Zhejiang	Mallards	WW
WHYCeC7L	Zhejiang	Mallards	WW
WHYCeC7R	Zhejiang	Mallards	WW
WHYCeC8	Zhejiang	Mallards	WW
WNCeC1L	Zhejiang	Mallards	WOW
WNCeC2L	Zhejiang	Mallards	WOW
WNFCeC1L	Zhejiang	Mallards	WOW
WNFCeC2L	Zhejiang	Mallards	WOW
WNFCeC3L	Zhejiang	Mallards	WOW
WNFCeC4L	Zhejiang	Mallards	WOW
