Sample ID	Assembly	Data production					
		Read  length (bp)	# of raw reads	 Raw data (Gb)	% Host DNA	# of  high quality reads	High quality data (Gb)
SHCeC4	MEGAHIT	150	157,688,080 	23.65 	54.05	56,022,724 	8.36 
SHCeC7	MEGAHIT	150	178,209,630 	26.73 	56.76	60,188,546 	8.98 
SSCeC-1	MEGAHIT	150	144,842,520 	21.73 	51.56	58,822,382 	8.76 
SSCeC-10	MEGAHIT	150	148,777,404 	22.32 	58.76	49,633,378 	7.40 
SSCeC-2	MEGAHIT	150	139,813,938 	20.97 	60.68	44,903,342 	6.69 
SSCeC-3	MEGAHIT	150	152,048,982 	22.81 	61.08	49,086,330 	7.32 
SSCeC-4	MEGAHIT	150	141,917,414 	21.29 	49.51	64,508,328 	9.60 
SSCeC-5	MEGAHIT	150	138,005,282 	20.70 	80.33	22,555,512 	3.36 
SSCeC-6	MEGAHIT	150	150,105,112 	22.52 	83.7	19,606,414 	2.92 
SSCeC-7	MEGAHIT	150	149,748,290 	22.46 	74.8	29,086,286 	4.34 
SSCeC-8	MEGAHIT	150	144,072,530 	21.61 	77.26	26,450,192 	3.94 
SSCeC-9	MEGAHIT	150	164,036,360 	24.61 	61.91	51,420,698 	7.67 
SXCeC1	MEGAHIT	150	85,534,096 	12.83 	61.53	31,018,370 	4.63 
SXCeC2	MEGAHIT	150	88,577,286 	13.29 	40.87	49,626,744 	7.42 
SXCeC3	MEGAHIT	150	95,126,794 	14.27 	54.43	41,052,462 	6.13 
SXCeC4	MEGAHIT	150	85,093,592 	12.76 	39.16	48,852,878 	7.30 
SXCeC5	MEGAHIT	150	88,578,266 	13.29 	54.47	37,877,180 	5.66 
SXCeC6	MEGAHIT	150	83,317,926 	12.50 	44.24	44,075,878 	6.59 
WFHCeC11L	MEGAHIT	150	88,283,276 	13.24 	13.89	72,589,512 	10.85 
WFHCeC12L	MEGAHIT	150	84,220,466 	12.63 	11.83	70,606,902 	10.55 
WFHCeC13L	MEGAHIT	150	82,641,588 	12.40 	12.35	68,928,002 	10.30 
WFHCeC14L	MEGAHIT	150	89,066,250 	13.36 	9.25	77,270,440 	11.55 
WFHCeC16L	MEGAHIT	150	90,685,664 	13.60 	10.05	77,841,684 	11.63 
WFHCeC1L	MEGAHIT	150	93,903,654 	14.09 	19.93	71,259,514 	10.64 
WFHCeC21L	MEGAHIT	150	83,082,018 	12.46 	10.96	70,670,518 	10.56 
WFHCeC22L	MEGAHIT	150	86,236,970 	12.94 	10.6	73,764,454 	11.03 
WFHCeC23L	MEGAHIT	150	84,540,496 	12.68 	12.69	70,582,058 	10.55 
WFHCeC24L	MEGAHIT	150	82,873,554 	12.43 	12.4	69,502,824 	10.39 
WFHCeC25L	MEGAHIT	150	85,305,900 	12.80 	13.67	70,090,866 	10.48 
WFHCeC2L	MEGAHIT	150	88,759,270 	13.31 	19.79	67,362,408 	10.06 
WFHCeC3L	MEGAHIT	150	84,183,220 	12.63 	38.71	46,099,632 	6.88 
WFHCeC4L	MEGAHIT	150	99,933,038 	14.99 	42.3	54,379,110 	8.12 
WFHCeC6L	MEGAHIT	150	87,281,020 	13.09 	20.35	65,879,562 	9.84 
WHYCeC1L	MEGAHIT	150	170,832,088 	25.62 	45.5	74,391,370 	11.11 
WHYCeC1R	MEGAHIT	150	101,870,996 	15.28 	14.92	82,030,976 	12.25 
WHYCeC2L	MEGAHIT	150	158,656,438 	23.80 	53.65	60,492,386 	9.03 
WHYCeC2R	MEGAHIT	150	101,498,972 	15.22 	15.1	81,520,520 	12.17 
WHYCeC3L	MEGAHIT	150	202,120,826 	30.32 	17	127,169,860 	19.02 
WHYCeC3R	MEGAHIT	150	89,677,244 	13.45 	17.31	69,900,412 	10.44 
WHYCeC4L	MEGAHIT	150	157,866,738 	23.68 	53.55	59,570,674 	8.90 
WHYCeC4R	MEGAHIT	150	94,875,620 	14.23 	12.39	78,891,394 	11.78 
WHYCeC5L	MEGAHIT	150	174,711,130 	26.21 	48.97	76,369,458 	11.41 
WHYCeC5R	MEGAHIT	150	91,956,138 	13.79 	39.17	52,670,678 	7.87 
WHYCeC6L	MEGAHIT	150	158,753,376 	23.81 	54.21	59,669,638 	8.91 
WHYCeC6R	MEGAHIT	150	99,669,340 	14.95 	17.3	77,960,128 	11.64 
WHYCeC7L	MEGAHIT	150	154,395,682 	23.16 	14.56	111,556,732 	16.68 
WHYCeC7R	MEGAHIT	150	88,095,286 	13.21 	17.05	69,104,964 	10.31 
WHYCeC8	MEGAHIT	150	160,776,732 	24.12 	99.53	636,122 	0.09 
WHYCoC1	MEGAHIT	150	186,553,498 	27.98 	75.13	33,709,532 	5.03 
WHYCoC2	MEGAHIT	150	157,301,676 	23.60 	85.75	11,405,688 	1.70 
WHYCoC3	MEGAHIT	150	141,128,566 	21.17 	24.59	84,309,872 	12.60 
WHYCoC5	MEGAHIT	150	175,650,990 	26.35 	97.58	3,259,772 	0.49 
WHYCoC6	MEGAHIT	150	160,408,268 	24.06 	76.55	23,040,672 	3.43 
WHYCoC7	MEGAHIT	150	151,621,448 	22.74 	63.81	41,159,696 	6.14 
WHYDuC1	MEGAHIT	150	197,809,792 	29.67 	99.86	194,232 	0.03 
WHYDuC2	MEGAHIT	150	173,316,518 	26.00 	99.85	161,532 	0.02 
WHYDuC6	MEGAHIT	150	175,885,494 	26.38 	99.89	156,422 	0.02 
WHYDuC7	MEGAHIT	150	154,713,500 	23.21 	99.9	110,252 	0.02 
WHYDuC8	MEGAHIT	150	152,259,648 	22.84 	99.9	106,222 	0.02 
WHYILC1	MEGAHIT	150	188,374,770 	28.26 	99.88	180,260 	0.03 
WHYILC3	MEGAHIT	150	141,430,310 	21.21 	77.67	19,046,284 	2.84 
WHYILC4	MEGAHIT	150	147,248,564 	22.09 	99.7	337,882 	0.05 
WHYILC5	MEGAHIT	150	165,221,498 	24.78 	99.51	630,924 	0.09 
WHYILC6	MEGAHIT	150	138,135,360 	20.72 	92.84	6,821,496 	1.01 
WHYILC8	MEGAHIT	150	151,483,254 	22.72 	99.89	129,278 	0.02 
WHYJeC1	MEGAHIT	150	210,693,128 	31.60 	99.16	538,866 	0.08 
WHYJeC2	MEGAHIT	150	203,778,364 	30.57 	99.87	168,096 	0.02 
WHYJeC3	MEGAHIT	150	138,821,112 	20.82 	99.9	120,010 	0.02 
WHYJeC5	MEGAHIT	150	165,865,628 	24.88 	99.9	139,128 	0.02 
WHYJeC7	MEGAHIT	150	157,073,926 	23.56 	99.94	75,098 	0.01 
WHYJeC8	MEGAHIT	150	150,475,680 	22.57 	99.92	98,540 	0.01 
WNCeC1L	MEGAHIT	150	142,469,696 	21.37 	44.12	54,440,746 	8.13 
WNCeC2L	MEGAHIT	150	150,787,586 	22.62 	81.78	21,076,882 	3.15 
WNFCeC1L	MEGAHIT	150	159,248,700 	23.89 	95.34	6,208,110 	0.93 
WNFCeC2L	MEGAHIT	150	140,921,220 	21.14 	99.02	1,153,268 	0.17 
WNFCeC3L	MEGAHIT	150	141,472,860 	21.22 	76.03	24,167,874 	3.61 
WNFCeC4L	MEGAHIT	150	153,780,294 	23.07 	57.55	51,534,390 	7.68 
