Total of 375 samples information			
Sample ID	location	Breeds	Intestines
CeC105	Zhejiang	Muscovy ducks	Cecum
CeC166	Zhejiang	Muscovy ducks	Cecum
CeC192	Zhejiang	Muscovy ducks	Cecum
CeC198	Zhejiang	Muscovy ducks	Cecum
CeC28	Zhejiang	Muscovy ducks	Cecum
CeC38	Zhejiang	Muscovy ducks	Cecum
CeC6	Zhejiang	Muscovy ducks	Cecum
CeC67	Zhejiang	Muscovy ducks	Cecum
CeC68	Zhejiang	Muscovy ducks	Cecum
CeC89	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_1	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_2	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_3	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_4	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_5	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_6	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_7	Zhejiang	Muscovy ducks	Cecum
MD14d_CeC_8	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_1	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_2	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_3	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_4	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_5	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_6	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_7	Zhejiang	Muscovy ducks	Cecum
MD3d_CeC_8	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC1	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC2	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC3	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC4	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC5	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC6	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC7	Zhejiang	Muscovy ducks	Cecum
MD42d_CeC8	Zhejiang	Muscovy ducks	Cecum
MD70dCeC1	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC1	Zhejiang	Muscovy ducks	Cecum
MD70dCeC2	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC2	Zhejiang	Muscovy ducks	Cecum
MD70dCeC3	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC3	Zhejiang	Muscovy ducks	Cecum
MD70dCeC4	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC4	Zhejiang	Muscovy ducks	Cecum
MD70dCeC5	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC5	Zhejiang	Muscovy ducks	Cecum
MD70dCeC6	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC6	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC7	Zhejiang	Muscovy ducks	Cecum
MD70d_CeC8	Zhejiang	Muscovy ducks	Cecum
MD70dCoC1	Zhejiang	Muscovy ducks	Colorectum
MD70dCoC2	Zhejiang	Muscovy ducks	Colorectum
MD70dCoC3	Zhejiang	Muscovy ducks	Colorectum
MD70dCoC4	Zhejiang	Muscovy ducks	Colorectum
MD70dCoC5	Zhejiang	Muscovy ducks	Colorectum
MD70dCoC7	Zhejiang	Muscovy ducks	Colorectum
MD70dduC1	Zhejiang	Muscovy ducks	Duodenum
MD70dduC2	Zhejiang	Muscovy ducks	Duodenum
MD70dduC3	Zhejiang	Muscovy ducks	Duodenum
MD70dduC4	Zhejiang	Muscovy ducks	Duodenum
MD70dduC5	Zhejiang	Muscovy ducks	Duodenum
MD70dduC7	Zhejiang	Muscovy ducks	Duodenum
MD70dIlC1	Zhejiang	Muscovy ducks	Ileum
MD70dIlC2	Zhejiang	Muscovy ducks	Ileum
MD70dIlC3	Zhejiang	Muscovy ducks	Ileum
MD70dIlC4	Zhejiang	Muscovy ducks	Ileum
MD70dIlC5	Zhejiang	Muscovy ducks	Ileum
MD70dIlC7	Zhejiang	Muscovy ducks	Ileum
MD70djeC1	Zhejiang	Muscovy ducks	Jejunum
MD70djeC2	Zhejiang	Muscovy ducks	Jejunum
MD70djeC3	Zhejiang	Muscovy ducks	Jejunum
MD70djeC4	Zhejiang	Muscovy ducks	Jejunum
MD70djeC5	Zhejiang	Muscovy ducks	Jejunum
MD70djeC6	Zhejiang	Muscovy ducks	Jejunum
MD7d_CeC_1	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_2	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_3	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_4	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_5	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_6	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_7	Zhejiang	Muscovy ducks	Cecum
MD7d_CeC_8	Zhejiang	Muscovy ducks	Cecum
PD14d_CeC_1	Zhejiang	Peking ducks	Cecum
PD14d_CeC_2	Zhejiang	Peking ducks	Cecum
PD14d_CeC_3	Zhejiang	Peking ducks	Cecum
PD14d_CeC_4	Zhejiang	Peking ducks	Cecum
PD14d_CeC_5	Zhejiang	Peking ducks	Cecum
