tax	MD3d_CeC_1	MD3d_CeC_2	MD3d_CeC_3	MD3d_CeC_4	MD3d_CeC_5	MD3d_CeC_6	MD3d_CeC_7	MD3d_CeC_8	MD7d_CeC_1	MD7d_CeC_2	MD7d_CeC_3	MD7d_CeC_4	MD7d_CeC_5	MD7d_CeC_6	MD7d_CeC_7	MD7d_CeC_8	MD14d_CeC_1	MD14d_CeC_2	MD14d_CeC_3	MD14d_CeC_4	MD14d_CeC_5	MD14d_CeC_6	MD14d_CeC_7	MD14d_CeC_8	MD42d_CeC1	MD42d_CeC2	MD42d_CeC3	MD42d_CeC4	MD42d_CeC5	MD42d_CeC6	MD42d_CeC7	MD42d_CeC8	MD70d_CeC1	MD70d_CeC2	MD70d_CeC3	MD70d_CeC4	MD70d_CeC5	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD3d_CeC_1	PD3d_CeC_2	PD3d_CeC_3	PD3d_CeC_4	PD3d_CeC_5	PD3d_CeC_6	PD3d_CeC_7	PD3d_CeC_8	PD14d_CeC_1	PD14d_CeC_2	PD14d_CeC_3	PD14d_CeC_4	PD14d_CeC_5	PD14d_CeC_6	PD14d_CeC_7	PD14d_CeC_8	PD7d_CeC_1	PD7d_CeC_2	PD7d_CeC_4	PD7d_CeC_5	PD7d_CeC_6	PD7d_CeC_7	PD7d_CeC_8	PD7d_CeC_3	PD42d_CeC1	PD42d_CeC2	PD42d_CeC3	PD42d_CeC4	PD42d_CeC5	PD42d_CeC6	PD42d_CeC8	PD42d_CeC7	PD70d_CeC1	PD70d_CeC2	PD70d_CeC3	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	PD70d_CeC4	PD70d_CeC5
PD7d_CeC_5	0.499765357	0.545089027	0.533180787	0.544046333	0.49805906	0.548220123	0.536861803	0.547375405	0.374490054	0.408714715	0.413133432	0.464707032	0.52225357	0.390510075	0.410121163	0.376844288	0.738958433	0.740195553	0.750593414	0.743823843	0.74064891	0.739430809	0.74420322	0.750932458	0.827128197	0.850214222	0.826669639	0.841567074	0.848075782	0.832743429	0.82321106	0.832188632	0.7913118	0.802146914	0.824800712	0.828830407	0.791538484	0.800813021	0.823280107	0.829001144	0.358842722	0.480664764	0.434828725	0.646466472	0.676337797	0.700234155	0.455095057	0.393119376	0.748856838	0.764169932	0.743260863	0.747784387	0.758511142	0.756773204	0.749464932	0.755501097	0.35423536	0.281607885	0.25587059	0	0.175692936	0.310623726	0.146527503	0.322288105	0.805575308	0.82699612	0.823226532	0.828533816	0.8104786	0.819268492	0.830603642	0.8317671	0.79977869	0.790142424	0.796637644	0.791211577	0.797497055	0.80670491	0.804932208	0.800030899
PD7d_CeC_6	0.462373738	0.463377666	0.452844865	0.493243272	0.476073375	0.466981546	0.457212599	0.493133695	0.294953797	0.308196378	0.396978949	0.443372012	0.500560527	0.376859014	0.309672237	0.297941819	0.779863166	0.784981246	0.786559308	0.788122998	0.785018327	0.7795331	0.787153194	0.786308705	0.831380175	0.852224567	0.827933428	0.843878491	0.849433937	0.837269432	0.828081786	0.836271268	0.801277427	0.809159787	0.830438542	0.836930913	0.801259529	0.807920666	0.828847392	0.837079474	0.362424945	0.400655212	0.436650896	0.647326093	0.677250494	0.70043681	0.372326691	0.392387835	0.794458179	0.811073861	0.784110808	0.79223037	0.802114714	0.802730448	0.797444474	0.800305792	0.281974238	0.221574278	0.161155406	0.175692936	0	0.239733702	0.076304193	0.229944812	0.818961554	0.832902721	0.830350174	0.834586843	0.818099162	0.826518011	0.835725029	0.836399666	0.81019134	0.801156227	0.81045344	0.801911344	0.81096098	0.812864105	0.811221888	0.810381002
PD7d_CeC_7	0.453654132	0.343166038	0.334319597	0.48331975	0.467302973	0.347386712	0.339562852	0.483340726	0.183777532	0.12888512	0.303871251	0.356768096	0.416614141	0.27994292	0.131809138	0.19060272	0.9384588	0.939706733	0.931434295	0.94249081	0.93975619	0.938696038	0.942644922	0.931638532	0.942106474	0.94322512	0.9434723	0.941262916	0.938987556	0.942425864	0.94272986	0.941923769	0.943800931	0.944313981	0.945115069	0.945034906	0.943805514	0.94415942	0.94487915	0.944952958	0.39189658	0.285127695	0.461817917	0.690554667	0.720159489	0.730988236	0.254502217	0.419589218	0.939494517	0.942078486	0.938949494	0.93607755	0.938402368	0.94025129	0.939837695	0.938636254	0.13752733	0.117289468	0.266713437	0.310623726	0.239733702	0	0.25847783	0.119754623	0.946767398	0.937905142	0.945495243	0.94059997	0.946151824	0.940929761	0.944450614	0.943966502	0.944209527	0.942271877	0.944055709	0.94235161	0.944078054	0.945439745	0.94534464	0.944211674
PD7d_CeC_8	0.464332931	0.493128547	0.482228271	0.497484377	0.473819997	0.496539484	0.486370272	0.498530564	0.323309568	0.349668227	0.404236957	0.452306246	0.510059082	0.384099846	0.351156789	0.326372269	0.799421012	0.80382962	0.799526348	0.807574159	0.803802722	0.799038671	0.806582617	0.799134909	0.838470326	0.860363846	0.836069731	0.851039513	0.857794048	0.844525064	0.835361488	0.843774494	0.815877108	0.824335622	0.840925395	0.845951965	0.815873275	0.823125196	0.839327791	0.846078273	0.358960524	0.428417136	0.433850478	0.648321617	0.679962571	0.70286204	0.400573409	0.393540705	0.808764376	0.825562768	0.800919344	0.805530068	0.81516169	0.815420918	0.811705136	0.813413089	0.302589621	0.231426318	0.116863206	0.146527503	0.076304193	0.25847783	0	0.265188266	0.83245448	0.843134061	0.841212003	0.845040897	0.829525959	0.836029726	0.846176075	0.846991314	0.821416037	0.81587018	0.824773873	0.816634614	0.825307825	0.82445754	0.822761066	0.821440341
PD7d_CeC_3	0.439727481	0.273078885	0.264891648	0.472019027	0.453006272	0.2777203	0.2708008	0.472219061	0.255311529	0.189300105	0.373371111	0.418792392	0.473316498	0.353947377	0.191366642	0.262055034	0.935136112	0.936064658	0.927085039	0.938816078	0.936093964	0.935416185	0.939064396	0.92724165	0.934936523	0.935694356	0.936279674	0.934152595	0.930575696	0.935116841	0.935839595	0.934858247	0.93981062	0.939546067	0.940065977	0.939124244	0.93982587	0.939414087	0.939811603	0.939005696	0.382986214	0.213073741	0.451742097	0.684610403	0.714603478	0.716770375	0.184222201	0.416750911	0.934820704	0.937319819	0.935400873	0.931011931	0.932475413	0.934722942	0.935871617	0.933148731	0.113680793	0.217217032	0.274543485	0.322288105	0.229944812	0.119754623	0.265188266	0	0.940894751	0.931802746	0.938133616	0.934112149	0.939503051	0.934886369	0.937193898	0.937097941	0.938917974	0.936540129	0.93908201	0.936588739	0.939122233	0.940117401	0.940042435	0.938885636
PD42d_CeC1	0.990306133	0.99058306	0.991934742	0.992715148	0.988796633	0.990652909	0.992214699	0.9932883	0.986305454	0.98686469	0.987028888	0.986746927	0.986721823	0.987412466	0.98676794	0.986552386	0.470335463	0.417426437	0.363500165	0.462728639	0.41576377	0.470711754	0.461597086	0.36567192	0.326225183	0.427607794	0.307287372	0.327591689	0.364502359	0.282702822	0.25921471	0.300043435	0.254071473	0.268835796	0.368472582	0.269588033	0.252135635	0.269566793	0.369227845	0.270785093	0.860173559	0.97896701	0.869881693	0.761157639	0.761413222	0.844177441	0.963211128	0.851875656	0.345324581	0.418878919	0.405623126	0.345377404	0.369688327	0.357018396	0.375317067	0.353803006	0.973841091	0.932281986	0.904938814	0.805575308	0.818961554	0.946767398	0.83245448	0.940894751	0	0.140842222	0.185510063	0.12790497	0.067784069	0.095402354	0.123704768	0.128794955	0.3092808	0.328316239	0.332523758	0.328987618	0.333306023	0.326503734	0.324950966	0.308904099
PD42d_CeC2	0.979756096	0.980271848	0.984345383	0.98559895	0.978266166	0.980423752	0.984672516	0.9862175	0.976436383	0.977022477	0.977268679	0.97697624	0.97693577	0.977684268	0.976965493	0.976725143	0.541415128	0.478820106	0.368985951	0.54046405	0.477514009	0.541608619	0.53989289	0.370730159	0.368610328	0.455708991	0.338880199	0.351109027	0.384286097	0.311432575	0.294411932	0.338195484	0.310497294	0.309691324	0.381725301	0.319333964	0.308583139	0.309942455	0.383170399	0.31994461	0.848675586	0.968725514	0.857272186	0.748550557	0.749872132	0.830228738	0.95274058	0.840565987	0.409353199	0.47829727	0.470986103	0.406844872	0.413311112	0.409836162	0.436467918	0.403791499	0.964519671	0.923435515	0.903398982	0.82699612	0.832902721	0.937905142	0.843134061	0.931802746	0.140842222	0	0.222532608	0.051054291	0.163344294	0.04605637	0.130160082	0.110301944	0.363797141	0.390265382	0.383341827	0.390710051	0.383412252	0.365159126	0.363859481	0.363190856
PD42d_CeC3	0.987920593	0.989614251	0.991124695	0.992001112	0.986373015	0.989700875	0.991415973	0.992596429	0.983274117	0.983897998	0.984071969	0.983787488	0.983744114	0.985325883	0.983795056	0.983545635	0.498427709	0.437828317	0.468602832	0.472663061	0.4364642	0.49878476	0.476750345	0.470304968	0.205166754	0.330555669	0.206739884	0.223612858	0.255793443	0.175307945	0.158461822	0.190984511	0.246221126	0.277180566	0.345896025	0.250774375	0.244195588	0.278109392	0.346860518	0.250807462	0.854373487	0.976274495	0.864254271	0.75239044	0.753077072	0.838493222	0.960159835	0.84686013	0.372500705	0.425699409	0.436328771	0.361387071	0.400729006	0.377883457	0.391970394	0.382459635	0.972173281	0.930781126	0.901041898	0.823226532	0.830350174	0.945495243	0.841212003	0.938133616	0.185510063	0.222532608	0	0.214937303	0.118833467	0.202651623	0.167147483	0.214952057	0.292738408	0.312255469	0.302915182	0.312840051	0.303503269	0.31055533	0.309403278	0.292365562
PD42d_CeC4	0.982810136	0.983188232	0.986999504	0.988216069	0.981301839	0.98332196	0.98728903	0.988822517	0.979206784	0.979734715	0.979998199	0.979639294	0.979586828	0.9804502	0.97968095	0.979496935	0.543844394	0.484226722	0.38821221	0.536369625	0.482724867	0.54403709	0.536794209	0.389697084	0.35671707	0.443961208	0.33076361	0.336173091	0.373054102	0.296958389	0.285863107	0.328248225	0.304392908	0.308068575	0.375487802	0.308331121	0.302361024	0.308516641	0.378062395	0.308973964	0.850832541	0.971464585	0.859674651	0.75030153	0.751729115	0.833098352	0.955466719	0.842866051	0.407334462	0.472577173	0.465289137	0.404735662	0.417859035	0.413841006	0.433497458	0.407617331	0.967021055	0.926104547	0.904233256	0.828533816	0.834586843	0.94059997	0.845040897	0.934112149	0.12790497	0.051054291	0.214937303	0	0.152569111	0.045430971	0.080575743	0.059656278	0.33821718	0.363267466	0.356173235	0.363791338	0.356175284	0.340200713	0.339139289	0.337598776
PD42d_CeC5	0.989390459	0.990188897	0.991573	0.99240171	0.98787184	0.99026758	0.991866878	0.992985378	0.9851443	0.985731041	0.985902902	0.985626697	0.985600435	0.98630452	0.985631912	0.985404781	0.474696723	0.420415224	0.397635266	0.458727626	0.418776762	0.474783129	0.462698195	0.39956325	0.270902342	0.386660923	0.265842657	0.287560887	0.322107173	0.241477953	0.208486794	0.247577159	0.234314437	0.257867512	0.344887476	0.241745286	0.232192955	0.258110221	0.344939574	0.242311441	0.857566547	0.977838163	0.867355954	0.756213276	0.756859953	0.841246644	0.961881272	0.84910163	0.34715269	0.41458719	0.414248913	0.346376473	0.372200338	0.360898225	0.377915137	0.35722118	0.973149733	0.9315988	0.902289566	0.8104786	0.818099162	0.946151824	0.829525959	0.939503051	0.067784069	0.163344294	0.118833467	0.152569111	0	0.120729998	0.110640362	0.154066415	0.275518916	0.297410439	0.300725911	0.297752511	0.30129254	0.298830458	0.297450321	0.275305812
