sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD3d_CeC_7	MD3d_CeC_5	0.477937695	D03	MD3d_CeC_7	MD3d_CeC_5	0.371156323	D03	MD3d_CeC_7	MD3d_CeC_5	0.105548938	D03
MD3d_CeC_8	MD3d_CeC_5	0.367144507	D03	MD3d_CeC_8	MD3d_CeC_5	0.225472298	D03	MD3d_CeC_8	MD3d_CeC_5	0.082349766	D03
MD3d_CeC_1	MD3d_CeC_6	0.397047334	D03	MD3d_CeC_1	MD3d_CeC_6	0.288425538	D03	MD3d_CeC_1	MD3d_CeC_6	0.092096595	D03
MD3d_CeC_2	MD3d_CeC_6	0.07161471	D03	MD3d_CeC_2	MD3d_CeC_6	0.012266406	D03	MD3d_CeC_2	MD3d_CeC_6	0.02681651	D03
MD3d_CeC_3	MD3d_CeC_6	0.225543057	D03	MD3d_CeC_3	MD3d_CeC_6	0.078392049	D03	MD3d_CeC_3	MD3d_CeC_6	0.071324442	D03
MD3d_CeC_4	MD3d_CeC_6	0.376018027	D03	MD3d_CeC_4	MD3d_CeC_6	0.29032342	D03	MD3d_CeC_4	MD3d_CeC_6	0.088118961	D03
MD3d_CeC_5	MD3d_CeC_6	0.410766341	D03	MD3d_CeC_5	MD3d_CeC_6	0.305277475	D03	MD3d_CeC_5	MD3d_CeC_6	0.092098681	D03
MD3d_CeC_7	MD3d_CeC_6	0.224386263	D03	MD3d_CeC_7	MD3d_CeC_6	0.089919202	D03	MD3d_CeC_7	MD3d_CeC_6	0.064696065	D03
MD3d_CeC_8	MD3d_CeC_6	0.380604056	D03	MD3d_CeC_8	MD3d_CeC_6	0.291298213	D03	MD3d_CeC_8	MD3d_CeC_6	0.086459177	D03
MD3d_CeC_1	MD3d_CeC_7	0.464206752	D03	MD3d_CeC_1	MD3d_CeC_7	0.354339609	D03	MD3d_CeC_1	MD3d_CeC_7	0.104722304	D03
MD3d_CeC_2	MD3d_CeC_7	0.23549458	D03	MD3d_CeC_2	MD3d_CeC_7	0.101469408	D03	MD3d_CeC_2	MD3d_CeC_7	0.06256173	D03
MD3d_CeC_3	MD3d_CeC_7	0.064962844	D03	MD3d_CeC_3	MD3d_CeC_7	0.013778541	D03	MD3d_CeC_3	MD3d_CeC_7	0.026252799	D03
MD3d_CeC_4	MD3d_CeC_7	0.434802112	D03	MD3d_CeC_4	MD3d_CeC_7	0.350219732	D03	MD3d_CeC_4	MD3d_CeC_7	0.107854376	D03
